Episode,Reward,Loss,Entropy
1,11,2.9932,1.3828
2,21,2.9712,1.1296
3,21,7.5576,1.3633
4,1,8.7031,1.2325
5,11,2.7792,1.2573
6,21,10.7175,1.4297
7,11,4.8256,1.0263
8,56,6.5177,0.9317
9,11,11.7869,1.1609
10,21,7.3837,0.5348
11,1,8.9986,0.3580
12,21,6.1125,0.3235
13,11,3.6290,0.2911
14,11,8.3705,0.4845
15,11,8.2915,0.7907
16,1,13.4231,0.9177
17,11,4.3030,1.0743
18,26,5.4464,0.8390
19,-9,13.3654,1.2389
20,21,9.1127,1.0863
21,26,18.8872,1.1222
22,46,9.0799,1.0191
23,46,9.5791,1.0229
24,46,6.4550,1.1432
25,36,19.3429,0.8200
26,1,37.2929,1.4211
27,36,12.4452,0.9255
28,1,15.0237,0.8347
29,36,5.5501,0.7146
30,36,7.4828,0.6871
31,11,9.2633,0.7652
32,21,17.7770,0.9572
33,36,11.8241,0.6606
34,45,14.5328,0.4853
35,21,7.0387,0.6673
36,36,12.6392,0.7280
37,11,7.6623,0.8106
38,21,7.6448,0.8733
39,11,9.8828,0.8416
40,26,16.6940,0.6684
41,36,8.2445,0.6750
42,1,11.7422,0.6746
43,71,9.4552,0.7394
44,36,15.8332,0.8045
45,36,6.9318,0.6384
46,21,9.5370,0.8112
47,21,5.9249,0.6790
48,1,24.7743,0.9565
49,11,2.6227,0.6988
50,1,7.8155,0.8081
51,11,5.7833,0.9279
52,1,10.4978,1.0130
53,21,6.1191,0.9920
54,21,2.9860,0.8373
55,26,8.7343,0.7564
56,36,4.7088,0.8170
57,1,6.6169,0.8055
58,46,6.4181,0.7226
59,36,8.3120,0.7523
60,11,3.1735,0.8540
61,11,14.5980,0.8412
62,-9,48.3682,1.3540
63,11,3.4055,1.0352
64,36,7.3393,0.9929
65,11,3.3744,1.2542
66,21,12.6101,1.5170
67,36,8.4867,1.1094
68,46,10.6674,1.1371
69,61,16.2534,1.0855
70,11,13.0305,1.2894
71,21,5.6087,1.0643
72,36,10.0471,0.9142
73,1,12.6774,0.8093
74,36,10.6305,0.7814
75,11,6.4947,0.7411
76,46,3.9552,0.8764
77,26,9.4886,0.8421
78,1,6.6632,1.3205
79,56,6.1833,1.0387
80,21,9.0579,1.1845
81,11,8.5343,0.9184
82,21,7.9927,1.1793
83,21,4.0696,1.1405
84,21,4.2685,0.8070
85,21,4.1219,0.7241
86,46,2.8218,0.8626
87,46,5.6951,1.1208
88,46,6.3024,0.9576
89,36,13.9971,0.9481
90,21,5.7002,1.2261
91,26,15.6934,0.9779
92,11,10.4643,1.2019
93,11,10.6040,0.9710
94,21,4.3557,1.1807
95,36,7.9368,1.0353
96,11,6.8209,1.1328
97,56,3.3603,1.0968
98,11,5.8358,1.0902
99,11,4.7774,1.0319
100,11,10.9759,1.3444
101,21,4.1025,1.2974
102,36,3.1038,1.3553
103,46,9.2433,1.0204
104,26,24.5724,0.9193
105,21,16.4153,0.9141
106,21,3.3065,0.6840
107,21,5.9337,0.8794
108,21,5.6371,1.0175
109,21,4.6265,0.8848
110,36,20.5201,0.9843
111,11,5.5291,1.0426
112,46,8.6355,0.8186
113,21,3.0353,0.9045
114,26,19.6738,0.9041
115,-1,15.5266,0.3575
116,36,12.9235,0.8243
117,21,3.1521,1.1238
118,46,3.2678,0.6500
119,46,4.9722,0.8526
120,11,18.5162,1.3309
121,26,8.6481,0.9271
122,26,8.4414,0.9595
123,46,4.7382,0.9658
124,21,5.3232,0.9558
125,36,4.8474,0.7014
126,36,14.3224,1.1171
127,1,14.5873,0.5695
128,36,10.3099,0.4251
129,1,42.6552,0.6686
130,11,7.9107,0.1874
131,36,6.2783,0.0985
132,1,19.3495,0.3310
133,36,5.9109,0.3896
134,-9,17.1566,0.4970
135,46,9.4074,0.4768
136,21,3.4427,0.3174
137,21,4.5044,0.3244
138,1,13.4940,0.5295
