Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy
0,2026-03-29 04:37:36,71.52,9.377798164678097e-07,23.186573028564453,11.243340492248535,6.998936653137207
1,2026-03-29 04:37:45,73.62,5.722046125811175e-07,704.4503173828125,351.8431701660156,7.639470100402832
2,2026-03-29 04:37:54,73.32,-4.7683720083568915e-08,1190.455322265625,594.847412109375,7.604435443878174
3,2026-03-29 04:38:03,66.09,2.6226044269606064e-07,759.9976806640625,379.619384765625,7.5894083976745605
0,2026-03-29 04:39:00,22.46,2.066294513269895e-07,3.0874600410461426,1.4759026765823364,13.565522193908691
1,2026-03-29 04:39:09,-0.77,-1.5894572769070692e-08,858.9049682617188,429.3766174316406,15.172449111938477
2,2026-03-29 04:39:16,4.22,-1.1920930020892229e-08,993.9671020507812,496.9059143066406,15.527673721313477
3,2026-03-29 04:39:24,2.53,1.5894572769070692e-08,851.9175415039062,425.8798522949219,15.78181266784668
4,2026-03-29 04:39:31,7.45,-4.7683720083568915e-08,470.9416198730469,235.39076232910156,16.00872802734375
5,2026-03-29 04:39:38,1.6,-2.423922467187367e-07,623.2752075195312,311.5567932128906,16.16145896911621
6,2026-03-29 04:39:46,5.11,-5.563100557992584e-08,49.51554489135742,24.676525115966797,16.249353408813477
7,2026-03-29 04:39:52,-1.12,-3.834565802662837e-07,0.5398815870285034,0.18829697370529175,16.328685760498047
8,2026-03-29 04:39:59,9.13,1.5894572769070692e-08,42.11869430541992,20.97736358642578,16.396564483642578
9,2026-03-29 04:40:07,-0.11,-4.7683720083568915e-08,52.274620056152344,26.055143356323242,16.433513641357422
10,2026-03-29 04:40:16,2.15,-0.0,25.908992767333984,12.87220573425293,16.458110809326172
11,2026-03-29 04:40:29,-2.14,-1.1920930020892229e-08,0.25688302516937256,0.046107955276966095,16.46670913696289
12,2026-03-29 04:40:37,0.38,7.947286206899662e-08,0.3550223708152771,0.09517710655927658,16.46683120727539
13,2026-03-29 04:40:44,6.32,3.774961143676592e-08,0.8756742477416992,0.35550618171691895,16.4661922454834
14,2026-03-29 04:40:52,-3.21,-1.5894572769070692e-08,0.2739247679710388,0.05465508997440338,16.461456298828125
15,2026-03-29 04:41:00,-1.46,3.1789145538141383e-08,0.24191886186599731,0.038733355700969696,16.445220947265625
16,2026-03-29 04:41:08,-2.52,1.788139485370266e-07,0.21373695135116577,0.024851180613040924,16.40349578857422
17,2026-03-29 04:41:14,3.93,9.934107936260261e-08,0.5902195572853088,0.21329042315483093,16.363887786865234
18,2026-03-29 04:41:21,0.35,-0.0,0.27666959166526794,0.05689758062362671,16.287443161010742
19,2026-03-29 04:41:28,1.03,-1.2715658215256553e-07,0.38746005296707153,0.11294449865818024,16.157079696655273
20,2026-03-29 04:41:34,4.96,1.2715658215256553e-07,0.8775431513786316,0.3588785231113434,15.978633880615234
21,2026-03-29 04:41:45,-1.92,-2.3841860041784457e-08,0.4635675549507141,0.15366528928279877,15.62369155883789
22,2026-03-29 04:41:52,4.82,-5.960464477539063e-08,0.49048474431037903,0.16926661133766174,15.19514274597168
23,2026-03-29 04:41:57,32.87,-3.973643103449831e-08,5.441561222076416,2.6481924057006836,14.51763916015625
24,2026-03-29 04:42:07,9.71,1.6689301673977752e-07,1.193284273147583,0.5268778204917908,13.952903747558594
25,2026-03-29 04:42:18,24.06,3.1789145538141383e-08,3.142878293991089,1.5056880712509155,13.150215148925781
26,2026-03-29 04:42:31,28.82,1.4305115314527939e-07,5.314749717712402,2.595454454421997,12.384149551391602
27,2026-03-29 04:42:43,30.03,6.198883397701138e-07,5.052454948425293,2.467012405395508,11.843156814575195
28,2026-03-29 04:42:55,40.87,3.139178090805217e-07,8.319690704345703,4.101957321166992,11.577677726745605
29,2026-03-29 04:43:07,38.58,2.2252402231970336e-07,8.49930477142334,4.193182945251465,11.29387092590332
30,2026-03-29 04:43:17,57.3,1.5894572413799324e-07,15.231354713439941,7.559893608093262,11.156790733337402
31,2026-03-29 04:43:34,41.03,1.1424224055645027e-07,9.59976863861084,4.7442545890808105,11.125984191894531
32,2026-03-29 04:43:46,53.31,3.1789145538141383e-08,13.987677574157715,6.937813758850098,11.204960823059082
33,2026-03-29 04:43:57,58.37,2.106030905224543e-07,15.129982948303223,7.508465766906738,11.305152893066406
34,2026-03-29 04:44:08,65.76,6.039937829882547e-07,19.38932228088379,9.63744068145752,11.444282531738281
35,2026-03-29 04:44:19,65.0,1.4305115314527939e-07,19.58694839477539,9.736211776733398,11.452488899230957
36,2026-03-29 04:44:31,63.57,2.8610230629055877e-07,17.98209571838379,8.934617042541504,11.286201477050781
37,2026-03-29 04:44:37,56.18,-5.086263286102621e-07,15.618965148925781,7.753024101257324,11.291582107543945
38,2026-03-29 04:44:43,61.58,4.450480446394067e-07,16.888267517089844,8.387413024902344,11.34408950805664
39,2026-03-29 04:44:49,62.61,3.496805902614142e-07,17.718515396118164,8.80222225189209,11.407052993774414
40,2026-03-29 04:44:58,66.8,-6.357829107628277e-08,20.141986846923828,10.01362419128418,11.473893165588379
41,2026-03-29 04:45:09,69.2,4.13258902653979e-07,21.576005935668945,10.73026180267334,11.548144340515137
42,2026-03-29 04:45:15,76.38,1.9073488033427566e-07,26.079240798950195,12.9818754196167,11.549026489257812
41,2026-03-29 05:25:22,69.72,3.3378603347955504e-07,22.816064834594727,11.350275039672852,11.551440238952637
42,2026-03-29 05:25:30,70.49,2.384185791015625e-07,22.24032974243164,11.062162399291992,11.600482940673828
