Episode,Reward,Loss,Entropy,LR
0,19.66,1.0419,8.3146,0.0003
1,11.54,0.4519,8.3146,0.0003
2,5.96,0.0725,8.3147,0.0003
3,21.88,0.2275,8.3148,0.0003
4,8.18,0.3738,8.3149,0.0003
5,20.75,-0.0307,8.3149,0.0003
6,21.48,0.4212,8.315,0.0003
7,3.21,-0.4156,8.3153,0.0003
8,21.05,0.293,8.3153,0.0003
9,10.48,0.1767,8.3155,0.0003
10,26.7,-0.101,8.3154,0.0003
11,6.15,-0.017,8.3156,0.0003
12,5.87,-0.259,8.3157,0.0003
13,7.92,0.3352,8.3158,0.0003
14,27.47,0.0673,8.3157,0.0003
15,5.68,0.3028,8.3158,0.0003
16,24.56,0.1482,8.3159,0.0003
17,10.01,0.0364,8.316,0.0003
18,3.59,0.087,8.3161,0.0003
19,32.15,0.4067,8.3161,0.0003
20,10.17,0.6501,8.3161,0.0003
21,7.4,-0.5814,8.3162,0.0003
22,12.15,-0.0648,8.3162,0.0003
23,13.54,0.3826,8.3162,0.0003
24,18.36,0.6604,8.3162,0.0003
25,21.15,-0.2346,8.3162,0.0003
26,10.9,0.1429,8.3163,0.0003
27,10.08,-0.1003,8.3163,0.0003
28,24.95,0.4376,8.3163,0.0003
29,24.66,0.263,8.3162,0.0003
30,22.24,0.367,8.3162,0.0003
31,17.04,0.1764,8.3162,0.0003
32,10.19,-0.1967,8.3162,0.0003
33,7.56,0.5825,8.3163,0.0003
34,15.4,-0.82,8.3164,0.0003
35,10.09,0.041,8.3165,0.0003
36,21.18,0.3849,8.3165,0.0003
37,17.06,-0.1816,8.3165,0.0003
38,12.61,0.1336,8.3165,0.0003
39,19.25,0.3619,8.3165,0.0003
40,10.74,0.0131,8.3166,0.0003
41,17.14,-0.0717,8.3166,0.0003
42,10.53,0.0231,8.3166,0.0003
43,7.84,-0.1983,8.3167,0.0003
44,12.85,-0.2836,8.3168,0.0003
45,4.7,0.0446,8.3168,0.0003
46,23.69,-0.4931,8.3168,0.0003
47,37.64,-0.0557,8.3169,0.0003
48,25.22,0.4521,8.3168,0.0003
49,8.43,0.3444,8.3169,0.0003
50,13.77,-0.0487,8.3169,0.0003
51,13.46,-0.0795,8.3169,0.0003
52,10.35,0.223,8.3169,0.0003
53,7.68,0.3392,8.317,0.0003
54,24.47,0.245,8.317,0.0003
55,5.73,0.1894,8.317,0.0003
56,6.6,0.5488,8.317,0.0003
57,19.74,0.5339,8.317,0.0003
58,19.74,0.1172,8.317,0.0003
59,9.6,0.0057,8.3171,0.0003
60,23.07,-0.1609,8.3171,0.0003
61,8.38,-0.3843,8.3171,0.0003
62,12.38,0.0508,8.3171,0.0003
63,14.3,-0.1002,8.3171,0.0003
64,9.92,0.2163,8.3171,0.0003
65,6.55,0.132,8.3172,0.0003
66,12.0,0.3382,8.3172,0.0003
67,25.23,0.7932,8.3172,0.0003
68,15.67,0.177,8.3172,0.0003
69,8.98,0.0484,8.3172,0.0003
70,13.03,-0.603,8.3172,0.0003
71,12.53,-0.0513,8.3172,0.0003
72,14.91,0.1617,8.3172,0.0003
73,15.42,-0.336,8.3172,0.0003
74,6.81,0.0421,8.3172,0.0003
75,11.48,0.2223,8.3172,0.0003
76,11.26,0.2522,8.3172,0.0003
77,14.85,0.1866,8.3172,0.0003
78,24.75,-0.0649,8.3172,0.0003
79,11.02,0.0485,8.3173,0.0003
80,19.07,0.1914,8.3173,0.0003
81,14.52,-0.1118,8.3172,0.0003
82,25.57,0.4731,8.3172,0.0003
83,11.98,0.208,8.3172,0.0003
84,32.25,1.0236,8.3173,0.0003
85,5.99,-0.7663,8.3173,0.0003
86,11.97,0.0952,8.3173,0.0003
87,21.59,0.3173,8.3173,0.0003
88,10.1,-0.28,8.3173,0.0003
89,23.51,0.204,8.3173,0.0003
90,17.75,-0.0719,8.3173,0.0003
91,16.27,0.1868,8.3173,0.0003
92,15.5,0.0947,8.3173,0.0003
93,13.37,-0.2815,8.3173,0.0003
94,13.79,-0.1677,8.3173,0.0003
95,21.09,-0.0355,8.3173,0.0003
96,12.58,0.0216,8.3173,0.0003
97,8.36,-0.3867,8.3173,0.0003
98,6.87,-0.4792,8.3174,0.0003
99,11.17,-0.1728,8.3174,0.0003
100,19.8,-0.2433,8.3174,0.0003
101,16.89,-0.2351,8.3174,0.0003
102,38.22,0.4029,8.3173,0.0003
103,10.15,0.0938,8.3173,0.0003
104,10.86,-0.1803,8.3173,0.0003
105,16.56,-0.2758,8.3173,0.0003
106,9.53,-0.2143,8.3174,0.0003
107,8.63,0.1067,8.3174,0.0003
108,5.69,-0.7625,8.3174,0.0003
109,14.45,-0.6422,8.3174,0.0003
110,32.43,0.0269,8.3173,0.0003
111,10.25,0.2119,8.3173,0.0003
112,23.95,0.0828,8.3173,0.0003
113,14.88,0.1869,8.3173,0.0003
114,28.12,0.5091,8.3173,0.0003
115,18.44,-0.2572,8.3172,0.0003
116,27.35,0.8585,8.3172,0.0003
117,32.29,0.3171,8.3171,0.0003
118,33.33,1.551,8.3169,0.0003
119,17.02,0.1387,8.3172,0.0003
120,36.6,0.4503,8.3171,0.0003
121,29.05,0.3448,8.3172,0.0003
122,15.45,-0.4129,8.3173,0.0003
123,14.16,0.1887,8.3173,0.0003
124,24.49,0.7565,8.3173,0.0003
125,21.09,0.5827,8.3173,0.0003
126,10.57,0.0909,8.3174,0.0003
127,14.51,-0.2167,8.3174,0.0003
128,28.24,0.9844,8.3174,0.0003
129,11.74,-0.34,8.3174,0.0003
130,11.21,-0.3481,8.3174,0.0003
131,16.38,0.2221,8.3174,0.0003
132,20.63,0.1678,8.3174,0.0003
133,17.28,0.1088,8.3174,0.0003
134,22.69,-0.559,8.3174,0.0003
135,12.7,0.2905,8.3174,0.0003
136,16.77,-0.0439,8.3174,0.0003
137,14.5,1.0181,8.3174,0.0003
