Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-5650,13440,2,20
2,掠奪者任務,0.995,380,10928,5,11
3,掠奪者任務,0.990,-1190,12304,5,12
4,掠奪者任務,0.985,740,9392,6,13
5,掠奪者任務,0.980,1980,10992,5,10
6,掠奪者任務,0.975,-5990,13440,2,22
7,掠奪者任務,0.970,-8250,13440,0,20
8,掠奪者任務,0.966,-4040,13440,0,4
9,掠奪者任務,0.961,2720,8832,5,9
10,掠奪者任務,0.956,210,11184,5,12
11,掠奪者任務,0.951,-6240,13440,1,17
12,掠奪者任務,0.946,-5250,13440,4,20
13,掠奪者任務,0.942,-250,11472,5,10
14,掠奪者任務,0.937,-4500,13440,3,15
15,掠奪者任務,0.932,-7000,13440,0,11
16,掠奪者任務,0.928,1090,11184,5,8
17,掠奪者任務,0.923,-6170,13440,2,15
18,掠奪者任務,0.918,6340,5856,5,2
19,掠奪者任務,0.914,-5010,13440,4,17
20,掠奪者任務,0.909,-230,11120,5,14
21,掠奪者任務,0.905,4180,7104,5,11
22,掠奪者任務,0.900,2170,7680,5,4
23,掠奪者任務,0.896,1620,11440,5,9
24,掠奪者任務,0.891,-5880,13440,1,19
25,掠奪者任務,0.887,6500,6544,5,5
26,掠奪者任務,0.882,-5220,13440,2,11
27,掠奪者任務,0.878,-7060,13440,0,13
28,掠奪者任務,0.873,-5310,13440,2,18
29,掠奪者任務,0.869,-3090,13440,1,1
30,掠奪者任務,0.865,-6820,13440,1,11
31,掠奪者任務,0.860,-4410,13440,4,18
32,掠奪者任務,0.856,-7740,13440,2,7
33,掠奪者任務,0.852,-8290,13440,0,12
34,掠奪者任務,0.848,2820,7632,5,9
35,掠奪者任務,0.843,-4940,13440,3,17
36,掠奪者任務,0.839,-3520,13440,3,11
37,掠奪者任務,0.835,2930,8128,5,6
38,掠奪者任務,0.831,4000,12400,5,14
39,掠奪者任務,0.827,-4350,13440,3,10
40,掠奪者任務,0.822,5510,6224,5,2
41,掠奪者任務,0.818,-6700,13440,1,15
42,掠奪者任務,0.814,-5790,13440,1,12
43,掠奪者任務,0.810,-5960,13440,3,13
44,掠奪者任務,0.806,-5440,13440,2,5
45,掠奪者任務,0.802,5810,6016,5,2
46,掠奪者任務,0.798,-2850,13440,0,0
47,掠奪者任務,0.794,-3800,13440,3,15
48,掠奪者任務,0.790,-2850,13440,0,0
49,掠奪者任務,0.786,-9480,13440,0,9
50,掠奪者任務,0.782,-6010,13440,2,8
51,掠奪者任務,0.778,2860,7456,5,7
52,掠奪者任務,0.774,2600,7904,5,5
53,掠奪者任務,0.771,-6580,13440,1,19
54,掠奪者任務,0.767,-730,13440,3,24
55,掠奪者任務,0.763,-5300,13440,0,8
56,掠奪者任務,0.759,2310,10256,5,12
