Time,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,18
16.0,50,0,12,16,11
32.0,50,0,12,16,1
48.0,50,0,12,16,1
64.0,50,0,12,16,2
80.0,50,0,12,16,1
96.0,50,0,12,16,1
112.0,50,0,12,16,2
128.0,55,0,12,16,18
144.0,60,0,12,16,1
160.0,80,0,12,16,18
176.0,95,0,12,16,1
192.0,100,0,12,16,11
208.0,30,0,12,16,11
224.0,35,0,12,19,18
240.0,40,0,12,19,1
256.0,40,0,12,19,1
272.0,55,0,12,19,34
288.0,65,0,12,19,34
304.0,75,0,12,19,11
320.0,85,0,12,19,34
336.0,90,0,12,19,11
352.0,90,0,12,19,1
368.0,95,0,12,19,18
384.0,100,0,12,19,1
400.0,120,0,12,19,1
416.0,25,0,12,19,2
432.0,35,0,12,19,1
448.0,45,0,12,19,1
464.0,45,0,12,19,1
480.0,55,0,12,19,34
496.0,55,0,12,19,2
512.0,60,0,12,19,11
528.0,70,0,12,19,34
544.0,80,0,12,19,18
560.0,90,0,12,19,1
576.0,95,0,12,19,11
592.0,100,0,12,19,2
608.0,105,0,12,19,1
624.0,105,0,12,19,34
640.0,120,0,12,19,34
656.0,125,0,12,19,34
672.0,130,0,12,19,1
688.0,140,0,12,19,1
704.0,45,0,12,19,18
720.0,50,0,12,19,1
736.0,55,0,12,19,18
752.0,60,0,12,19,1
768.0,65,0,12,19,2
784.0,70,0,12,19,18
800.0,90,0,12,19,2
816.0,90,4,12,19,11
832.0,90,4,12,19,1
848.0,100,4,12,19,18
864.0,105,4,12,19,11
880.0,105,4,12,19,18
896.0,115,4,12,19,2
912.0,125,8,12,19,18
928.0,135,8,12,19,2
944.0,135,8,12,19,18
960.0,140,8,12,19,11
976.0,150,8,12,19,1
992.0,50,12,12,19,11
1008.0,55,12,12,19,11
1024.0,65,12,12,19,34
1040.0,70,12,12,19,11
1056.0,75,12,12,19,11
1072.0,80,12,12,19,18
1088.0,85,16,12,19,1
1104.0,90,16,12,19,2
1120.0,95,16,12,19,2
1136.0,100,16,12,19,18
1152.0,110,16,12,19,1
1168.0,15,20,12,19,11
1184.0,20,20,12,19,11
1200.0,20,20,12,19,1
1216.0,25,20,12,19,2
1232.0,35,20,12,19,11
1248.0,35,20,12,19,34
1264.0,45,24,12,19,18
1280.0,55,24,12,19,1
1296.0,60,24,12,19,34
1312.0,60,24,12,19,1
1328.0,65,24,12,19,34
1344.0,70,28,12,19,1
1360.0,70,28,12,19,2
1376.0,80,28,12,19,1
1392.0,90,28,12,19,2
1408.0,90,28,12,19,2
1424.0,95,28,12,19,2
1440.0,105,32,12,19,2
1456.0,110,32,12,19,2
1472.0,110,32,12,19,34
1488.0,110,32,12,19,2
1504.0,125,32,12,19,2
1520.0,130,36,12,19,1
1536.0,30,36,12,19,11
1552.0,45,36,12,19,34
1568.0,50,36,12,19,11
1584.0,50,36,12,19,2
1600.0,50,36,12,19,11
1616.0,50,40,12,19,34
1632.0,70,40,12,19,1
