Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,120,0,0,7,16,Done,False
2,0.999,120,0,0,7,16,Done,False
3,0.998,120,0,0,7,16,Done,False
4,0.997,120,0,0,7,16,Done,False
5,0.996,120,0,0,7,16,Done,False
6,0.995,120,0,0,7,16,Done,False
7,0.994,120,0,0,7,16,Done,False
8,0.993,120,0,0,7,16,Done,False
9,0.992,120,0,0,7,16,Done,False
10,0.991,120,0,0,7,16,Done,False
11,0.990,120,0,0,7,16,Done,False
12,0.989,120,0,0,7,16,Done,False
13,0.988,120,0,0,7,16,Done,False
14,0.987,120,0,0,7,16,Done,False
15,0.986,120,0,0,7,16,Done,False
16,0.985,120,0,0,7,16,Done,False
