Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-286,13440,0,41
2,掠奪者任務,0.995,-517,13440,0,33
3,掠奪者任務,0.990,1234,13440,2,36
4,掠奪者任務,0.985,-280,13440,0,41
5,掠奪者任務,0.980,858,13440,2,28
6,掠奪者任務,0.975,-535,13440,0,35
7,掠奪者任務,0.970,1332,13440,4,28
8,掠奪者任務,0.966,6390,10704,5,26
9,掠奪者任務,0.961,-592,13440,0,41
10,掠奪者任務,0.956,-205,13440,0,31
11,掠奪者任務,0.951,-636,13440,0,47
12,掠奪者任務,0.946,5972,11040,5,18
13,掠奪者任務,0.942,6017,10112,5,14
14,掠奪者任務,0.937,6492,10592,5,17
15,掠奪者任務,0.932,-581,13440,0,39
16,掠奪者任務,0.928,5781,7056,5,3
17,掠奪者任務,0.923,6470,9856,5,20
18,掠奪者任務,0.918,-303,13440,0,38
19,掠奪者任務,0.914,-579,13440,0,42
20,掠奪者任務,0.909,182,13440,1,44
21,掠奪者任務,0.905,-335,13440,0,44
22,掠奪者任務,0.900,124,13440,1,45
23,掠奪者任務,0.896,6022,7408,5,8
24,掠奪者任務,0.891,684,13440,2,41
25,掠奪者任務,0.887,-649,13440,0,47
26,掠奪者任務,0.882,5897,10080,5,29
27,掠奪者任務,0.878,5888,7040,5,5
28,掠奪者任務,0.873,-519,13440,0,37
29,掠奪者任務,0.869,5942,7248,5,6
30,掠奪者任務,0.865,216,13440,1,44
31,掠奪者任務,0.860,5989,7232,5,7
32,掠奪者任務,0.856,-202,13440,0,23
33,掠奪者任務,0.852,1259,13440,4,33
34,掠奪者任務,0.848,5990,7120,5,7
35,掠奪者任務,0.843,-252,13440,0,39
36,掠奪者任務,0.839,793,13440,2,34
37,掠奪者任務,0.835,1391,13440,3,26
38,掠奪者任務,0.831,-722,13440,0,44
39,掠奪者任務,0.827,1275,13440,4,38
40,掠奪者任務,0.822,-750,13440,0,48
41,掠奪者任務,0.818,296,13440,1,32
42,掠奪者任務,0.814,6098,6912,5,9
43,掠奪者任務,0.810,1295,13440,3,32
44,掠奪者任務,0.806,-665,13440,0,43
45,掠奪者任務,0.802,6063,8592,5,15
46,掠奪者任務,0.798,5957,10592,5,24
47,掠奪者任務,0.794,-529,13440,0,35
48,掠奪者任務,0.790,341,13440,1,26
49,掠奪者任務,0.786,1308,13440,4,31
50,掠奪者任務,0.782,6421,11904,6,23
51,掠奪者任務,0.778,-237,13440,0,37
52,掠奪者任務,0.774,-564,13440,0,41
53,掠奪者任務,0.771,5969,8656,5,7
54,掠奪者任務,0.767,-575,13440,0,42
55,掠奪者任務,0.763,-577,13440,0,41
56,掠奪者任務,0.759,-119,13440,0,28
57,掠奪者任務,0.755,786,13440,2,33
58,掠奪者任務,0.751,-621,13440,0,47
59,掠奪者任務,0.748,178,13440,1,43
60,掠奪者任務,0.744,-582,13440,0,42
61,掠奪者任務,0.740,7732,4832,5,1
62,掠奪者任務,0.737,-618,13440,0,36
63,掠奪者任務,0.733,6576,8176,5,11
64,掠奪者任務,0.729,-295,13440,0,38
65,掠奪者任務,0.726,-250,13440,0,35
66,掠奪者任務,0.722,5818,11360,5,21
67,掠奪者任務,0.718,1335,13440,4,28
68,掠奪者任務,0.715,6020,8320,5,9
69,掠奪者任務,0.711,-606,13440,0,40
70,掠奪者任務,0.708,6405,13440,5,19
71,掠奪者任務,0.704,768,13440,2,33
72,掠奪者任務,0.701,6404,7872,5,2
73,掠奪者任務,0.697,7688,6128,5,1
74,掠奪者任務,0.694,5985,10560,5,15
75,掠奪者任務,0.690,6058,8464,6,14
76,掠奪者任務,0.687,6010,7664,5,8
77,掠奪者任務,0.683,5910,7600,5,6
78,掠奪者任務,0.680,-573,13440,0,27
79,掠奪者任務,0.676,7750,5504,5,2
80,掠奪者任務,0.673,1357,13440,4,27
81,掠奪者任務,0.670,5876,6976,5,5
82,掠奪者任務,0.666,6397,11296,5,24
83,掠奪者任務,0.663,-249,13440,0,38
84,掠奪者任務,0.660,7757,5808,5,2
85,掠奪者任務,0.656,762,13440,2,38
86,掠奪者任務,0.653,-212,13440,0,32
87,掠奪者任務,0.650,-569,13440,0,39
88,掠奪者任務,0.647,1746,13440,4,34
89,掠奪者任務,0.643,-678,13440,0,46
90,掠奪者任務,0.640,299,13440,0,31
91,掠奪者任務,0.637,6407,13312,5,24
92,掠奪者任務,0.634,6080,8768,5,14
93,掠奪者任務,0.631,-588,13440,0,38
94,掠奪者任務,0.627,7841,6128,5,4
95,掠奪者任務,0.624,253,13440,1,40
96,掠奪者任務,0.621,6024,8800,5,14
97,掠奪者任務,0.618,6609,7136,5,10
98,掠奪者任務,0.615,5971,10736,5,15
99,掠奪者任務,0.612,6051,9968,5,12
100,掠奪者任務,0.609,5913,7408,5,5
101,掠奪者任務,0.606,-470,13440,0,30
102,掠奪者任務,0.603,6029,8832,5,14
103,掠奪者任務,0.600,-133,13440,0,25
104,掠奪者任務,0.597,6087,8304,5,13
105,掠奪者任務,0.594,1832,13440,4,29
106,掠奪者任務,0.591,5883,7616,5,5
107,掠奪者任務,0.588,7787,6064,5,3
108,掠奪者任務,0.585,198,13440,0,12
109,掠奪者任務,0.582,5979,11024,5,19
110,掠奪者任務,0.579,5889,12848,6,29
111,掠奪者任務,0.576,6236,12848,5,24
112,掠奪者任務,0.573,7688,6208,5,1
113,掠奪者任務,0.570,703,13440,2,35
114,掠奪者任務,0.568,6097,8864,5,9
115,掠奪者任務,0.565,-210,13440,0,34
116,掠奪者任務,0.562,7641,5520,5,0
117,掠奪者任務,0.559,1956,13440,4,18
118,掠奪者任務,0.556,-587,13440,0,39
119,掠奪者任務,0.554,5820,13360,5,31
120,掠奪者任務,0.551,5752,13392,5,31
121,掠奪者任務,0.548,6097,8208,5,9
122,掠奪者任務,0.545,341,13440,0,26
123,掠奪者任務,0.543,5969,11120,5,18
124,掠奪者任務,0.540,5842,13008,5,21
125,掠奪者任務,0.537,-598,13440,0,36
126,掠奪者任務,0.534,5764,13424,5,31
127,掠奪者任務,0.532,5923,13120,5,22
128,掠奪者任務,0.529,6335,7808,5,4
129,掠奪者任務,0.526,-322,13440,0,39
130,掠奪者任務,0.524,-583,13440,0,41
131,掠奪者任務,0.521,-175,13440,0,33
132,掠奪者任務,0.519,-677,13440,0,36
133,掠奪者任務,0.516,7650,5552,5,0
134,掠奪者任務,0.513,6096,10096,5,12
135,掠奪者任務,0.511,7783,5344,5,2
136,掠奪者任務,0.508,7743,5680,5,2
137,掠奪者任務,0.506,6604,9232,5,11
138,掠奪者任務,0.503,7903,6656,5,5
139,掠奪者任務,0.501,6443,7088,6,6
140,掠奪者任務,0.498,7918,6352,5,5
141,掠奪者任務,0.496,6586,9872,5,11
142,掠奪者任務,0.493,7806,6272,5,2
143,掠奪者任務,0.491,5852,7504,5,4
144,掠奪者任務,0.488,6596,9152,5,11
145,掠奪者任務,0.486,6114,7664,5,11
146,掠奪者任務,0.483,7770,5872,5,2
147,掠奪者任務,0.481,5930,11488,5,17
148,掠奪者任務,0.479,6145,8736,5,10
149,掠奪者任務,0.476,5884,13280,5,30
150,掠奪者任務,0.474,6096,10304,6,12
151,掠奪者任務,0.471,-417,13440,0,24
152,掠奪者任務,0.469,6004,8080,5,7
153,掠奪者任務,0.467,7927,6192,5,5
154,掠奪者任務,0.464,6534,8912,6,12
155,掠奪者任務,0.462,5962,7776,5,5
156,掠奪者任務,0.460,6000,8848,5,7
157,掠奪者任務,0.458,5985,12112,5,20
158,掠奪者任務,0.455,5862,7888,6,4
159,掠奪者任務,0.453,743,13440,2,38
160,掠奪者任務,0.451,684,13440,2,44
161,掠奪者任務,0.448,6548,9504,5,11
162,掠奪者任務,0.446,5996,11472,6,20
163,掠奪者任務,0.444,5938,8752,5,6
164,掠奪者任務,0.442,-131,13440,0,28
165,掠奪者任務,0.440,260,13440,1,38
166,掠奪者任務,0.437,707,13440,2,45
167,掠奪者任務,0.435,7685,6352,5,0
168,掠奪者任務,0.433,-82,13440,0,20
169,掠奪者任務,0.431,7820,6624,5,2
170,掠奪者任務,0.429,864,13440,2,30
171,掠奪者任務,0.427,8016,6336,5,7
172,掠奪者任務,0.424,766,13440,2,36
173,掠奪者任務,0.422,6157,8208,5,10
174,掠奪者任務,0.420,-606,13440,0,46
175,掠奪者任務,0.418,414,13440,1,24
176,掠奪者任務,0.416,-137,13440,0,28
177,掠奪者任務,0.414,-222,13440,0,28
178,掠奪者任務,0.412,427,13440,1,17
179,掠奪者任務,0.410,-674,13440,0,48
180,掠奪者任務,0.408,-166,13440,0,27
181,掠奪者任務,0.406,5938,8112,5,6
182,掠奪者任務,0.404,998,13440,2,11
183,掠奪者任務,0.402,5840,11680,5,26
184,掠奪者任務,0.400,6480,11408,5,11
185,掠奪者任務,0.398,6521,10848,5,16
186,掠奪者任務,0.396,1396,13440,3,19
187,掠奪者任務,0.394,399,13440,1,28
188,掠奪者任務,0.392,1313,13440,3,35
189,掠奪者任務,0.390,-505,13440,0,30
190,掠奪者任務,0.388,-592,13440,0,45
191,掠奪者任務,0.386,807,13440,2,36
192,掠奪者任務,0.384,-484,13440,0,38
193,掠奪者任務,0.382,-506,13440,0,29
194,掠奪者任務,0.380,5817,13296,5,21
195,掠奪者任務,0.378,5942,7296,5,6
196,掠奪者任務,0.376,6013,12496,5,20
197,掠奪者任務,0.374,347,13440,1,34
198,掠奪者任務,0.373,5843,12416,5,29
199,掠奪者任務,0.371,5964,7840,5,7
200,掠奪者任務,0.369,6495,13216,5,19
201,掠奪者任務,0.367,5869,12096,5,25
202,掠奪者任務,0.365,-465,13440,0,31
203,掠奪者任務,0.363,-162,13440,0,29
204,掠奪者任務,0.361,5915,11072,5,18
205,掠奪者任務,0.360,6535,9072,5,9
206,掠奪者任務,0.358,316,13440,1,32
207,掠奪者任務,0.356,6031,12336,5,11
208,掠奪者任務,0.354,-556,13440,0,45
209,掠奪者任務,0.353,785,13440,2,42
210,掠奪者任務,0.351,-404,13440,0,9
211,掠奪者任務,0.349,5883,13168,5,30
212,掠奪者任務,0.347,-486,13440,0,35
213,掠奪者任務,0.346,1937,13440,4,21
214,掠奪者任務,0.344,6564,8192,5,8
215,掠奪者任務,0.342,6499,12032,5,28
216,掠奪者任務,0.340,5880,9024,5,19
217,掠奪者任務,0.339,1416,13440,3,20
218,掠奪者任務,0.337,969,13440,3,16
219,掠奪者任務,0.335,951,13440,2,24
220,掠奪者任務,0.334,-516,13440,0,44
221,掠奪者任務,0.332,-496,13440,0,35
222,掠奪者任務,0.330,5497,9888,5,6
223,掠奪者任務,0.329,5848,7888,5,4
224,掠奪者任務,0.327,392,13440,1,29
225,掠奪者任務,0.325,-93,13440,0,27
226,掠奪者任務,0.324,6536,8624,5,8
227,掠奪者任務,0.322,1492,13440,3,20
228,掠奪者任務,0.321,6491,9344,5,7
229,掠奪者任務,0.319,919,13440,2,23
230,掠奪者任務,0.317,6119,8976,6,12
231,掠奪者任務,0.316,6114,8544,5,11
232,掠奪者任務,0.314,5560,9600,5,14
233,掠奪者任務,0.313,8329,6272,6,3
234,掠奪者任務,0.311,6518,13216,5,18
235,掠奪者任務,0.309,1441,13440,4,25
236,掠奪者任務,0.308,-366,13440,0,32
237,掠奪者任務,0.306,-299,13440,0,7
238,掠奪者任務,0.305,6526,13040,5,19
239,掠奪者任務,0.303,500,13440,0,23
240,掠奪者任務,0.302,1420,13440,4,24
241,掠奪者任務,0.300,881,13440,2,30
242,掠奪者任務,0.299,1943,13440,4,19
243,掠奪者任務,0.297,928,13440,2,26
244,掠奪者任務,0.296,5923,11616,5,27
245,掠奪者任務,0.294,-542,13440,0,42
246,掠奪者任務,0.293,414,13440,1,25
247,掠奪者任務,0.291,5969,10608,5,21
248,掠奪者任務,0.290,1381,13440,3,27
249,掠奪者任務,0.288,-357,13440,0,23
250,掠奪者任務,0.287,6496,12064,5,20
251,掠奪者任務,0.286,6002,12144,5,19
252,掠奪者任務,0.284,6521,10784,5,17
253,掠奪者任務,0.283,-429,13440,0,32
