Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,14
32.0,50,0,12,0,0,45
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,14
96.0,50,0,12,0,0,14
112.0,50,0,12,0,0,14
128.0,55,0,12,0,0,14
144.0,60,0,12,0,0,45
160.0,80,0,12,0,0,14
176.0,95,0,12,0,0,14
192.0,100,0,12,0,0,14
208.0,105,0,12,0,0,14
224.0,110,0,12,0,0,14
240.0,115,0,12,0,0,14
256.0,115,0,12,0,0,14
272.0,130,0,12,0,0,14
288.0,145,0,12,0,0,14
304.0,155,0,12,0,0,45
320.0,165,0,12,0,0,45
336.0,170,0,12,0,0,14
352.0,170,0,12,0,0,14
368.0,175,0,12,0,0,14
384.0,185,0,12,0,0,1
416.0,110,0,12,0,0,45
448.0,130,0,12,0,0,45
464.0,130,0,12,0,0,45
480.0,140,0,12,0,0,14
496.0,140,0,12,0,0,45
512.0,145,0,12,0,0,1
544.0,70,0,12,0,0,45
576.0,80,0,12,0,0,45
592.0,85,0,12,0,0,45
608.0,90,0,12,0,0,45
624.0,90,0,12,0,0,14
640.0,105,0,12,0,0,14
656.0,115,0,12,0,0,14
672.0,120,0,12,0,0,45
688.0,125,0,12,0,0,14
704.0,130,0,12,0,0,14
720.0,135,0,12,0,0,1
752.0,50,0,12,0,0,45
784.0,60,0,12,0,0,14
800.0,75,0,12,0,0,14
816.0,75,0,12,0,0,45
832.0,75,0,12,0,0,45
848.0,85,0,12,0,0,14
864.0,95,0,12,0,0,45
880.0,95,0,12,0,0,45
896.0,105,0,12,0,0,45
912.0,115,0,12,0,0,45
928.0,120,0,12,0,0,14
944.0,120,0,12,0,0,45
960.0,125,0,12,0,0,41
992.0,140,0,12,0,0,14
1008.0,145,0,12,0,0,14
1024.0,155,0,12,0,0,45
1056.0,165,0,12,0,0,14
1072.0,170,0,12,0,0,2
1104.0,185,0,12,0,0,2
1120.0,190,0,12,0,0,2
1136.0,195,0,12,0,0,14
1152.0,210,0,12,0,0,2
1168.0,215,0,12,0,0,2
1184.0,220,0,12,0,0,2
1200.0,220,0,12,0,0,2
1216.0,225,0,12,0,0,2
1232.0,240,0,12,0,0,41
1248.0,240,0,12,0,0,2
1264.0,250,0,12,0,0,14
1280.0,260,0,12,0,0,2
1296.0,260,0,12,0,0,45
1328.0,275,0,12,0,0,41
1360.0,285,0,12,0,0,14
1376.0,295,0,12,0,0,41
1408.0,305,0,12,0,0,2
1424.0,305,0,12,0,0,45
1456.0,330,0,12,0,0,2
1488.0,190,0,12,0,0,14
1504.0,205,0,12,0,0,45
1520.0,160,0,12,0,0,14
1536.0,160,0,12,0,1,2
1568.0,20,0,12,0,2,45
1600.0,30,0,12,0,2,45
1616.0,35,0,12,0,2,45
1632.0,55,0,12,0,2,45
1648.0,55,0,12,0,2,16
1760.0,110,0,12,0,2,45
1792.0,110,0,13,0,2,14
1808.0,115,0,13,0,2,11
1840.0,55,0,13,0,2,16
1968.0,110,0,13,0,2,16
2096.0,160,0,13,0,2,16
2224.0,210,0,13,0,2,42
2256.0,225,0,13,0,2,45
2288.0,235,0,13,0,2,42
2320.0,245,0,13,0,2,16
2448.0,290,0,13,0,2,42
2480.0,300,4,13,0,2,42
2496.0,305,8,13,0,2,42
2512.0,305,12,13,0,2,42
2528.0,305,12,13,0,2,16
2640.0,290,16,13,0,2,42
2656.0,290,16,13,0,2,41
2688.0,305,24,13,0,2,16
2736.0,275,28,13,0,2,45
2768.0,275,28,13,0,2,45
2784.0,285,28,13,0,2,45
2800.0,290,32,13,0,2,41
2832.0,310,36,13,0,2,16
2864.0,260,40,13,0,2,45
2896.0,275,40,13,0,2,45
2912.0,285,44,13,0,2,42
2928.0,290,48,13,0,2,45
2944.0,295,48,13,0,2,45
2960.0,305,48,13,0,2,45
2976.0,305,52,13,0,2,16
3008.0,265,52,13,0,2,45
3040.0,225,60,13,0,2,14
3056.0,230,60,13,0,2,45
3072.0,245,60,13,0,2,34
3184.0,225,72,13,0,2,16
3200.0,245,72,13,0,2,45
3232.0,255,76,13,0,2,34
3344.0,300,88,14,0,2,42
3360.0,250,88,14,0,2,16
3376.0,250,88,14,0,2,45
3408.0,265,96,14,0,2,34
3520.0,310,108,14,0,2,45
3552.0,325,108,14,0,2,34
3664.0,375,120,14,0,2,45
3696.0,395,124,14,0,2,34
3808.0,440,136,14,0,2,34
3840.0,395,111,14,0,2,14
3856.0,410,115,14,0,2,45
3888.0,420,119,14,0,2,18
4000.0,470,131,14,0,2,42
4016.0,470,131,14,0,2,14
4032.0,470,131,14,0,2,16
4160.0,520,147,14,0,2,16
4240.0,470,155,14,0,2,16
4256.0,420,155,14,0,2,16
4272.0,320,134,14,0,2,18
4288.0,340,134,14,0,2,42
4304.0,340,134,14,0,2,14
4320.0,305,138,14,0,2,14
4336.0,305,142,14,0,2,16
4384.0,275,142,14,0,2,18
4512.0,330,158,14,0,2,45
4544.0,340,158,14,0,2,45
4560.0,350,166,14,0,2,34
4672.0,390,178,15,0,2,14
4688.0,400,178,15,0,2,45
4704.0,410,178,15,0,2,18
4832.0,425,190,15,0,2,16
4848.0,430,190,15,0,2,34
4960.0,480,202,15,0,2,14
4976.0,485,206,15,0,2,18
5104.0,540,218,15,0,2,18
5232.0,600,230,15,0,2,18
5360.0,655,242,15,0,2,18
5488.0,670,254,15,0,2,16
5504.0,680,262,15,0,2,34
5616.0,725,274,15,0,2,34
5728.0,775,282,15,0,2,14
5744.0,785,286,15,0,2,14
5760.0,795,286,15,0,2,14
5776.0,800,286,15,0,2,18
5824.0,725,265,15,0,2,14
5840.0,675,265,15,0,2,14
5856.0,685,273,15,0,2,16
5936.0,675,277,15,0,2,14
5952.0,630,277,15,0,2,14
5968.0,640,281,15,0,2,16
6000.0,600,285,15,0,2,14
6016.0,560,285,15,0,2,14
6032.0,520,289,15,0,2,14
6048.0,530,289,15,0,2,18
6128.0,360,247,16,0,2,18
6144.0,375,251,16,0,2,14
6160.0,280,226,16,0,2,18
6176.0,290,226,16,0,2,34
6288.0,340,238,16,0,2,18
6416.0,400,250,17,0,2,34
6528.0,455,262,17,0,2,45
6560.0,420,270,17,0,2,14
6576.0,440,270,17,0,2,18
6688.0,485,282,18,0,2,18
6816.0,565,294,18,0,2,34
