Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
16.0,50,0,12,0,0,45,15
32.0,50,0,12,0,0,14,15
48.0,0,0,12,0,0,14,63
64.0,0,0,12,0,0,45,48
80.0,0,0,12,0,0,44,15
96.0,0,0,12,0,0,45,15
112.0,0,0,12,0,0,44,16
128.0,5,0,12,0,0,45,15
144.0,10,0,12,0,0,44,15
160.0,30,0,12,0,0,45,87
176.0,45,0,12,0,0,44,56
192.0,55,0,12,0,0,45,15
208.0,5,0,12,0,0,14,48
224.0,10,0,12,0,0,45,41
240.0,15,0,12,0,0,44,6
256.0,15,0,12,0,0,45,34
272.0,30,0,12,0,0,44,15
288.0,45,0,12,0,0,45,15
304.0,55,0,13,0,0,44,15
320.0,15,0,13,0,0,14,51
336.0,20,0,13,0,0,45,15
352.0,20,0,13,0,0,44,15
368.0,25,0,13,0,0,45,15
384.0,30,0,13,0,0,44,30
400.0,50,0,13,0,0,45,15
416.0,10,0,13,0,0,14,98
432.0,20,0,13,0,0,45,15
448.0,25,0,13,0,0,44,99
464.0,30,0,13,0,0,45,15
480.0,45,0,13,0,0,44,92
496.0,50,0,13,0,0,45,15
512.0,5,0,13,0,0,14,15
528.0,20,0,13,0,0,45,66
544.0,30,0,13,0,0,44,26
560.0,40,0,13,0,0,45,15
576.0,40,0,14,0,0,44,15
592.0,60,0,14,0,0,45,15
608.0,65,0,14,0,0,44,15
624.0,65,0,14,0,0,45,15
640.0,70,0,14,0,0,44,15
656.0,90,0,14,0,0,45,15
672.0,100,0,14,0,0,11,15
688.0,35,0,14,0,0,11,51
704.0,45,0,14,0,0,45,15
720.0,55,0,14,0,0,44,24
736.0,55,0,14,0,0,45,66
752.0,65,0,14,0,0,42,15
768.0,75,0,14,0,0,45,15
784.0,80,0,14,0,0,42,15
800.0,95,0,14,0,0,45,15
816.0,95,0,14,0,0,44,15
832.0,100,0,14,0,0,45,99
848.0,110,0,15,0,0,1,15
864.0,120,0,15,0,0,1,37
880.0,20,0,15,0,0,1,15
896.0,30,0,15,0,0,45,15
912.0,40,0,15,0,0,44,52
928.0,45,0,15,0,0,45,15
944.0,50,0,15,0,0,44,15
960.0,60,0,15,0,0,45,52
976.0,65,0,15,0,0,44,69
992.0,75,0,15,0,0,45,15
1008.0,80,0,15,0,0,44,29
1024.0,85,0,15,0,0,45,15
1040.0,90,0,15,0,0,44,94
1056.0,100,0,15,0,0,45,94
1072.0,110,0,15,0,0,1,15
1088.0,15,0,15,0,0,1,15
1104.0,20,0,15,0,0,45,15
1120.0,30,0,15,0,0,44,66
1136.0,35,0,15,0,0,45,15
1152.0,35,0,15,0,0,44,15
1168.0,45,0,15,0,0,45,98
1184.0,60,0,15,0,0,44,12
1200.0,60,0,15,0,0,45,93
1216.0,70,0,15,0,0,44,34
1232.0,75,0,15,0,0,45,68
1248.0,80,0,15,0,0,44,15
1264.0,85,0,15,0,0,45,15
1280.0,95,4,15,0,0,44,15
1296.0,95,4,15,0,0,45,15
1312.0,110,8,15,0,0,44,15
1328.0,120,8,15,0,0,1,15
1344.0,120,8,15,0,0,1,15
1360.0,125,8,15,0,0,1,15
1376.0,145,16,15,0,0,1,15
1392.0,145,16,15,0,0,1,15
1408.0,145,20,15,0,0,1,15
1424.0,150,20,15,0,0,1,15
1440.0,165,20,15,0,0,41,48
1456.0,170,20,15,0,0,45,8
1472.0,75,24,15,0,0,1,76
1488.0,85,24,15,0,0,14,35
1504.0,95,28,15,0,0,45,37
1520.0,45,28,15,0,0,14,15
1536.0,50,32,15,0,0,45,15
1552.0,10,32,15,0,0,14,15
1568.0,10,36,15,0,0,45,15
1584.0,25,36,15,0,0,44,15
1600.0,35,40,15,0,0,45,15
1616.0,40,40,15,0,0,44,15
1632.0,50,44,15,0,0,45,55
1648.0,50,44,16,0,0,41,15
1664.0,50,48,16,0,0,41,15
1680.0,60,48,16,0,0,45,15
1696.0,75,52,16,0,0,14,65
1712.0,80,52,16,0,0,34,15
1728.0,35,56,16,0,0,14,62
1744.0,45,56,16,0,0,45,15
1760.0,55,56,16,0,0,44,15
1776.0,5,60,16,0,0,14,15
1792.0,15,60,16,0,0,45,58
1808.0,30,64,16,0,0,44,15
1824.0,35,64,16,0,0,45,15
1840.0,45,68,16,0,0,44,73
1856.0,55,68,16,0,0,45,76
1872.0,60,72,16,0,0,14,15
1888.0,65,72,16,0,0,14,15
1904.0,75,76,16,0,0,45,94
1920.0,80,76,17,0,0,14,15
1936.0,90,80,17,0,0,45,69
1952.0,50,80,17,0,0,14,12
1968.0,65,84,17,0,0,34,2
1984.0,70,84,17,0,0,14,15
2000.0,70,88,17,0,0,14,53
2016.0,85,88,17,0,0,14,70
2032.0,90,92,17,0,0,34,36
2048.0,95,92,17,0,0,34,18
2064.0,110,96,17,0,0,14,15
2080.0,125,96,17,0,0,14,15
2096.0,130,100,17,0,0,34,39
2112.0,135,100,17,0,0,34,92
2128.0,145,104,17,0,0,14,15
2144.0,150,104,17,0,0,14,15
2160.0,160,108,17,0,0,14,15
2176.0,165,108,17,0,0,14,15
2192.0,180,112,18,0,0,2,62
2208.0,190,112,18,0,0,14,15
2224.0,200,116,18,0,0,14,15
2240.0,155,116,18,0,0,14,15
2256.0,160,120,18,0,0,2,15
2272.0,165,120,18,0,0,2,15
2288.0,180,120,18,0,0,2,15
2304.0,190,124,18,0,0,41,35
2320.0,200,124,18,0,0,14,38
2336.0,215,128,18,0,0,2,15
2352.0,220,128,18,0,0,2,15
2368.0,230,132,18,0,0,14,21
2384.0,235,132,18,0,0,2,15
2400.0,240,136,18,0,0,2,15
2416.0,100,136,18,0,0,2,7
2432.0,125,140,18,0,0,14,33
2448.0,135,140,18,0,0,34,15
2464.0,135,144,19,0,0,45,93
2480.0,145,144,19,0,1,1,15
2496.0,150,148,19,0,1,34,7
2512.0,160,148,19,0,1,34,98
2528.0,165,152,19,0,1,2,15
2544.0,175,152,19,0,1,1,15
2560.0,195,156,19,0,1,2,18
2576.0,200,156,19,0,1,1,15
2592.0,205,160,19,0,1,1,15
2608.0,210,160,19,0,1,1,52
2624.0,130,164,19,0,1,45,67
2640.0,140,164,19,0,1,1,8
2656.0,140,168,19,0,1,34,56
2672.0,160,168,19,0,1,34,15
