Episode,Total_Reward,Marauders,End_Loop,Reason
1,370.79,0,[13440],Timeout
2,340.79,0,[13440],Timeout
3,165.79,0,[13440],Timeout
4,110.79,0,[13440],Timeout
5,125.79,0,[13440],Timeout
6,130.79,0,[13440],Timeout
7,520.79,3,[13440],Timeout
8,440.79,2,[13440],Timeout
9,200.79,0,[13440],Timeout
10,170.79,0,[13440],Timeout
11,125.79,0,[13440],Timeout
12,520.79,3,[13440],Timeout
13,405.79,2,[13440],Timeout
14,290.79,0,[13440],Timeout
15,130.79,0,[13440],Timeout
16,330.79,1,[13440],Timeout
17,200.79,0,[13440],Timeout
18,105.79,0,[13440],Timeout
19,275.79,1,[13440],Timeout
20,240.79,0,[13440],Timeout
21,210.79,0,[13440],Timeout
22,330.79,1,[13440],Timeout
23,465.79,2,[13440],Timeout
24,370.79,2,[13440],Timeout
25,595.79,3,[13440],Timeout
26,110.79,0,[13440],Timeout
27,170.79,0,[13440],Timeout
28,160.79,0,[13440],Timeout
29,90.79,0,[13440],Timeout
30,470.79,2,[13440],Timeout
31,310.79,1,[13440],Timeout
32,125.79,0,[13440],Timeout
33,30.79,0,[13440],Timeout
34,350.79,1,[13440],Timeout
35,125.79,0,[13440],Timeout
36,165.79,0,[13440],Timeout
37,190.79,0,[13440],Timeout
38,335.79,1,[13440],Timeout
39,70.79,0,[13440],Timeout
40,165.79,0,[13440],Timeout
41,425.79,2,[13440],Timeout
42,140.79,0,[13440],Timeout
43,105.79,0,[13440],Timeout
44,275.79,0,[13440],Timeout
45,170.79,0,[13440],Timeout
46,480.79,2,[13440],Timeout
47,630.79,0,[13440],Timeout
48,220.79,0,[13440],Timeout
49,125.79,0,[13440],Timeout
50,100.79,0,[13440],Timeout
51,275.79,1,[13440],Timeout
52,360.79,0,[13440],Timeout
53,90.79,0,[13440],Timeout
54,220.79,0,[13440],Timeout
55,60.79,0,[13440],Timeout
56,105.79,0,[13440],Timeout
57,105.79,0,[13440],Timeout
58,635.79,3,[13440],Timeout
59,295.79,0,[13440],Timeout
60,460.79,0,[13440],Timeout
61,150.79,0,[13440],Timeout
62,105.79,0,[13440],Timeout
63,105.79,0,[13440],Timeout
64,405.79,2,[13440],Timeout
65,70.79,0,[13440],Timeout
66,220.79,1,[13440],Timeout
67,125.79,0,[13440],Timeout
68,505.79,2,[13440],Timeout
69,255.79,0,[13440],Timeout
70,150.79,0,[13440],Timeout
71,245.79,0,[13440],Timeout
72,330.79,1,[13440],Timeout
73,160.79,0,[13440],Timeout
74,280.79,0,[13440],Timeout
75,410.79,2,[13440],Timeout
76,445.79,2,[13440],Timeout
77,405.79,2,[13440],Timeout
78,120.79,0,[13440],Timeout
79,325.79,1,[13440],Timeout
80,105.79,0,[13440],Timeout
81,555.79,3,[13440],Timeout
82,50.79,0,[13440],Timeout
83,270.79,1,[13440],Timeout
84,210.79,0,[13440],Timeout
85,670.79,4,[13440],Timeout
86,780.79,4,[13440],Timeout
87,440.79,1,[13440],Timeout
88,520.79,0,[13440],Timeout
89,270.79,1,[13440],Timeout
90,260.79,1,[13440],Timeout
91,125.79,0,[13440],Timeout
92,70.79,0,[13440],Timeout
93,160.79,0,[13440],Timeout
94,90.79,0,[13440],Timeout
95,90.79,0,[13440],Timeout
96,280.79,1,[13440],Timeout
97,110.79,0,[13440],Timeout
98,290.79,0,[13440],Timeout
99,140.79,0,[13440],Timeout
100,90.79,0,[13440],Timeout
