Episode,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,75,0,13440,Timeout,False
2,335,2,13440,Timeout,True
3,635,0,13440,Timeout,True
4,35,0,13440,Timeout,False
5,485,2,13440,Timeout,False
6,185,1,13440,Timeout,False
7,185,1,13440,Timeout,True
8,635,0,13440,Timeout,True
9,335,0,13440,Timeout,False
10,1286,5,12096,Target_Reached,False
11,525,0,13440,Timeout,True
12,185,1,13440,Timeout,False
13,35,0,13440,Timeout,True
14,565,3,13440,Timeout,True
15,185,1,13440,Timeout,False
16,35,0,13440,Timeout,True
17,185,1,13440,Timeout,True
18,10,0,13440,Timeout,True
19,565,3,13440,Timeout,True
20,35,0,13440,Timeout,False
21,485,3,13440,Timeout,True
22,265,1,13440,Timeout,True
23,485,0,13440,Timeout,False
24,335,0,13440,Timeout,True
25,75,0,13440,Timeout,False
26,35,0,13440,Timeout,False
27,35,0,13440,Timeout,False
28,35,0,13440,Timeout,True
29,335,2,13440,Timeout,True
30,35,0,13440,Timeout,False
31,635,4,13440,Timeout,True
32,185,1,13440,Timeout,True
33,75,0,13440,Timeout,False
34,185,1,13440,Timeout,True
35,635,4,13440,Timeout,True
36,-4,0,13440,Timeout,False
37,185,0,13440,Timeout,False
38,115,0,13440,Timeout,True
39,35,0,13440,Timeout,True
40,35,0,13440,Timeout,True
41,335,2,13440,Timeout,True
42,430,2,13440,Timeout,True
43,485,3,13440,Timeout,True
44,485,4,13440,Timeout,False
45,75,0,13440,Timeout,False
46,335,0,13440,Timeout,True
47,185,0,13440,Timeout,True
48,185,1,13440,Timeout,True
49,185,0,13440,Timeout,True
50,35,0,13440,Timeout,False
51,265,1,13440,Timeout,False
52,35,0,13440,Timeout,False
53,185,1,13440,Timeout,True
54,35,0,13440,Timeout,False
55,35,0,13440,Timeout,True
56,35,0,13440,Timeout,False
57,635,4,13440,Timeout,True
58,200,0,13440,Timeout,True
59,525,3,13440,Timeout,False
60,335,2,13440,Timeout,True
61,185,0,13440,Timeout,False
62,485,0,13440,Timeout,False
63,115,0,13440,Timeout,False
64,35,0,13440,Timeout,False
65,635,4,13440,Timeout,True
66,185,1,13440,Timeout,True
67,335,0,13440,Timeout,True
68,485,3,13440,Timeout,False
69,115,0,13440,Timeout,False
70,335,2,13440,Timeout,False
71,225,1,13440,Timeout,True
72,485,3,13440,Timeout,True
73,335,2,13440,Timeout,True
74,-4,0,13440,Timeout,False
75,635,0,13440,Timeout,False
76,-4,0,13440,Timeout,False
77,185,1,13440,Timeout,True
78,185,0,13440,Timeout,False
79,1136,5,12256,Target_Reached,False
80,185,0,13440,Timeout,False
81,35,0,13440,Timeout,False
82,415,2,13440,Timeout,True
83,185,1,13440,Timeout,False
84,335,0,13440,Timeout,False
85,185,0,13440,Timeout,False
86,35,0,13440,Timeout,False
87,75,0,13440,Timeout,False
88,635,4,13440,Timeout,True
89,185,0,13440,Timeout,False
90,35,0,13440,Timeout,True
91,35,0,13440,Timeout,False
92,35,0,13440,Timeout,False
93,115,0,13440,Timeout,False
94,335,0,13440,Timeout,True
95,35,0,13440,Timeout,False
96,35,0,13440,Timeout,True
97,335,0,13440,Timeout,True
98,185,0,13440,Timeout,False
99,485,3,13440,Timeout,True
100,225,0,13440,Timeout,True
101,375,0,13440,Timeout,True
102,485,3,13440,Timeout,True
103,635,3,13440,Timeout,True
104,335,0,13440,Timeout,False
105,185,1,13440,Timeout,False
106,35,0,13440,Timeout,False
107,35,0,13440,Timeout,True
108,335,2,13440,Timeout,True
109,185,1,13440,Timeout,True
110,35,0,13440,Timeout,False
111,185,1,13440,Timeout,True
112,35,0,13440,Timeout,True
113,35,0,13440,Timeout,False
114,185,1,13440,Timeout,False
115,-4,0,13440,Timeout,False
116,35,0,13440,Timeout,False
117,185,1,13440,Timeout,True
118,485,0,13440,Timeout,True
119,415,0,13440,Timeout,True
120,-4,0,13440,Timeout,False
121,35,0,13440,Timeout,False
122,115,0,13440,Timeout,False
123,335,2,13440,Timeout,True
124,485,3,13440,Timeout,True
125,35,0,13440,Timeout,False
126,635,4,13440,Timeout,False
127,185,1,13440,Timeout,True
128,335,0,13440,Timeout,False
129,35,0,13440,Timeout,False
130,-4,0,13440,Timeout,False
131,185,1,13440,Timeout,True
132,-4,0,13440,Timeout,False
133,35,0,13440,Timeout,True
134,35,0,13440,Timeout,False
135,335,0,13440,Timeout,False
136,225,1,13440,Timeout,True
137,115,0,13440,Timeout,False
138,185,1,13440,Timeout,False
139,185,0,13440,Timeout,False
140,525,3,13440,Timeout,False
141,-4,0,13440,Timeout,False
142,335,2,13440,Timeout,True
143,185,0,13440,Timeout,False
144,185,1,13440,Timeout,True
145,115,0,13440,Timeout,True
146,75,0,13440,Timeout,False
147,35,0,13440,Timeout,False
148,185,1,13440,Timeout,True
149,635,0,13440,Timeout,False
150,375,2,13440,Timeout,True
151,-4,0,13440,Timeout,False
152,75,0,13440,Timeout,False
153,265,1,13440,Timeout,False
154,35,0,13440,Timeout,True
155,185,1,13440,Timeout,False
156,35,0,13440,Timeout,False
157,35,0,13440,Timeout,False
158,35,0,13440,Timeout,False
159,335,0,13440,Timeout,False
160,75,0,13440,Timeout,False
161,35,0,13440,Timeout,False
162,565,3,13440,Timeout,True
163,335,0,13440,Timeout,True
164,35,0,13440,Timeout,False
165,35,0,13440,Timeout,True
166,75,0,13440,Timeout,False
167,185,1,13440,Timeout,False
168,115,0,13440,Timeout,False
169,115,0,13440,Timeout,True
170,485,0,13440,Timeout,False
171,565,3,13440,Timeout,True
172,35,0,13440,Timeout,False
173,185,0,13440,Timeout,False
174,1286,5,11872,Target_Reached,False
175,185,1,13440,Timeout,True
176,75,0,13440,Timeout,True
177,75,0,13440,Timeout,True
178,335,0,13440,Timeout,False
179,525,2,13440,Timeout,True
180,185,0,13440,Timeout,True
181,335,2,13440,Timeout,True
182,-4,0,13440,Timeout,False
183,185,0,13440,Timeout,False
184,635,3,13440,Timeout,False
185,75,0,13440,Timeout,False
186,335,2,13440,Timeout,False
187,35,0,13440,Timeout,True
188,-4,0,13440,Timeout,False
189,1285,5,13152,Target_Reached,True
190,485,0,13440,Timeout,False
191,335,2,13440,Timeout,True
192,75,0,13440,Timeout,False
193,335,2,13440,Timeout,True
194,35,0,13440,Timeout,True
195,185,0,13440,Timeout,False
196,-4,0,13440,Timeout,True
197,-4,0,13440,Timeout,False
198,485,0,13440,Timeout,True
199,375,0,13440,Timeout,True
200,-4,0,13440,Timeout,False
