Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,631,4,13440,Timeout,True
2,0.999,631,4,13440,Timeout,True
3,0.998,181,1,13440,Timeout,False
4,0.997,111,0,13440,Timeout,False
5,0.996,1322,5,11600,Target_Reached,False
6,0.995,1322,5,11600,Target_Reached,True
7,0.994,371,1,13440,Timeout,False
8,0.993,331,2,13440,Timeout,False
9,0.992,371,0,13440,Timeout,False
10,0.991,671,4,13440,Timeout,False
11,0.990,31,0,13440,Timeout,False
12,0.989,1322,5,12736,Target_Reached,True
13,0.988,261,0,13440,Timeout,False
14,0.987,221,0,13440,Timeout,False
15,0.986,1323,5,10608,Target_Reached,True
16,0.985,631,3,13440,Timeout,True
17,0.984,221,0,13440,Timeout,False
18,0.983,521,2,13440,Timeout,False
19,0.982,331,2,13440,Timeout,True
20,0.981,1323,5,10880,Target_Reached,True
21,0.980,481,0,13440,Timeout,True
22,0.979,261,1,13440,Timeout,True
23,0.978,481,3,13440,Timeout,False
24,0.977,71,0,13440,Timeout,False
25,0.976,371,2,13440,Timeout,False
26,0.975,631,4,13440,Timeout,False
27,0.974,1322,5,12624,Target_Reached,True
28,0.973,1283,5,9664,Target_Reached,True
29,0.972,1284,5,8560,Target_Reached,False
30,0.971,671,4,13440,Timeout,True
31,0.970,481,3,13440,Timeout,True
32,0.969,521,3,13440,Timeout,True
33,0.968,1283,5,10048,Target_Reached,True
34,0.968,671,4,13440,Timeout,True
35,0.967,481,3,13440,Timeout,True
36,0.966,1282,5,12368,Target_Reached,True
37,0.965,631,0,13440,Timeout,True
38,0.964,751,0,13440,Timeout,False
39,0.963,371,2,13440,Timeout,True
40,0.962,561,0,13440,Timeout,True
41,0.961,631,4,13440,Timeout,True
42,0.960,71,0,13440,Timeout,False
43,0.959,31,0,13440,Timeout,False
44,0.958,1282,5,12128,Target_Reached,True
45,0.957,671,4,13440,Timeout,True
46,0.956,671,0,13440,Timeout,True
47,0.955,331,1,13440,Timeout,False
48,0.954,371,1,13440,Timeout,False
49,0.953,31,0,13440,Timeout,False
50,0.952,221,1,13440,Timeout,False
51,0.951,711,4,13440,Timeout,False
52,0.950,181,1,13440,Timeout,False
53,0.949,451,0,13440,Timeout,False
54,0.948,1282,5,12544,Target_Reached,True
