Episode,Task,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,掠奪者,1.000,1280,1,1,0,20016,Done,False
2,掠奪者,0.999,43,1,0,0,17168,Done,False
3,掠奪者,0.998,138,0,0,0,14640,Done,False
4,掠奪者,0.997,153,1,0,0,20160,Done,False
5,掠奪者,0.996,1071,1,1,0,20160,Done,False
6,掠奪者,0.995,228,1,0,0,17728,Done,False
7,掠奪者,0.994,317,1,0,0,16048,Done,False
8,掠奪者,0.993,1380,1,1,0,20160,Done,False
9,掠奪者,0.992,69,1,0,0,18192,Done,False
10,掠奪者,0.991,47,1,0,0,20160,Done,False
11,掠奪者,0.990,80,1,0,0,20160,Done,False
12,掠奪者,0.989,1288,1,0,0,20160,Done,False
13,掠奪者,0.988,156,1,0,0,17184,Done,False
14,掠奪者,0.987,738,1,0,0,18352,Done,False
15,掠奪者,0.986,1201,1,0,0,20160,Done,False
16,掠奪者,0.985,1380,1,0,0,20160,Done,False
17,掠奪者,0.984,819,1,0,0,20160,Done,False
18,掠奪者,0.983,51,1,0,0,20160,Done,False
19,掠奪者,0.982,423,1,0,0,19040,Done,False
20,掠奪者,0.981,363,1,0,0,20160,Done,False
21,掠奪者,0.980,377,1,0,0,18672,Done,False
22,掠奪者,0.979,230,1,0,0,18336,Done,False
23,掠奪者,0.978,53,1,0,0,15968,Done,False
24,掠奪者,0.977,969,1,1,0,20160,Done,False
25,掠奪者,0.976,186,1,0,0,17152,Done,False
26,掠奪者,0.975,72,1,0,0,15472,Done,False
27,掠奪者,0.974,538,1,0,0,20160,Done,False
28,掠奪者,0.973,828,1,0,0,20160,Done,False
29,掠奪者,0.972,438,1,0,0,19456,Done,False
30,掠奪者,0.971,633,1,0,0,20160,Done,False
31,掠奪者,0.970,85,0,0,0,6176,Done,False
