Game_Loop,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,6
32.0,50,0,12,16,7
64.0,50,0,12,16,2
96.0,50,0,12,16,3
128.0,60,0,12,16,3
224.0,110,0,12,16,1
256.0,135,0,12,16,1
288.0,100,0,12,16,7
320.0,120,0,12,16,0
352.0,120,0,12,16,4
384.0,150,0,12,16,2
416.0,170,0,12,16,7
448.0,180,0,12,16,0
480.0,190,0,12,16,3
512.0,130,0,12,16,6
608.0,180,0,13,19,1
640.0,190,0,13,19,1
672.0,160,0,13,19,2
704.0,180,0,13,19,7
736.0,190,0,13,19,8
768.0,200,0,13,19,6
800.0,230,0,13,19,8
864.0,250,0,13,19,5
896.0,270,0,13,19,2
928.0,185,0,14,19,5
960.0,200,0,14,19,6
1056.0,245,0,14,19,3
1088.0,270,0,14,19,6
1120.0,270,4,14,19,6
1152.0,295,4,14,19,5
1184.0,315,4,14,19,2
1216.0,230,8,14,19,0
1248.0,240,8,14,19,4
1280.0,260,12,14,19,5
1312.0,275,12,14,19,0
1344.0,295,12,14,19,6
1376.0,300,16,14,19,5
1408.0,325,16,14,19,8
1440.0,335,16,14,16,0
1472.0,350,20,14,16,2
1504.0,260,20,14,16,8
1568.0,300,24,14,19,2
1600.0,300,24,14,19,1
1632.0,320,28,14,19,3
1664.0,330,28,14,19,6
1696.0,350,28,14,19,3
1792.0,390,32,14,19,0
1888.0,435,36,14,19,3
1920.0,445,40,14,19,7
1952.0,460,40,14,19,1
1984.0,465,44,14,19,7
2016.0,485,44,14,19,0
2048.0,500,44,14,19,5
2080.0,510,48,14,19,8
2144.0,535,48,14,16,8
2176.0,550,52,14,16,9
2240.0,580,52,14,19,1
2272.0,600,56,14,19,5
2368.0,630,60,14,19,3
2400.0,650,60,14,19,6
2496.0,690,64,14,19,3
2528.0,705,68,14,19,6
2560.0,725,68,14,19,5
2592.0,590,68,14,19,8
2624.0,595,72,14,16,1
2656.0,615,72,14,16,8
2720.0,640,76,14,16,8
2784.0,665,80,14,19,1
2816.0,635,80,14,19,6
2848.0,640,80,14,19,5
2880.0,665,84,14,19,7
2912.0,665,84,14,19,5
2944.0,685,84,14,19,2
2976.0,705,88,14,19,2
3008.0,615,88,14,19,6
3040.0,630,92,14,19,4
3072.0,635,92,15,19,2
3104.0,650,92,15,19,1
3136.0,670,96,15,19,3
3168.0,675,96,15,19,8
3200.0,695,96,15,16,1
3232.0,705,100,15,16,5
3264.0,720,100,15,16,7
3296.0,725,100,15,16,0
3328.0,745,104,15,16,7
3424.0,785,108,15,19,5
3456.0,800,108,15,19,0
3488.0,815,112,15,19,2
3520.0,830,112,15,19,8
3584.0,860,116,15,19,2
3616.0,865,116,15,19,1
3648.0,885,116,15,19,7
3680.0,890,120,15,19,1
3712.0,910,120,15,19,0
3744.0,930,124,15,19,4
3776.0,935,124,15,19,5
3808.0,955,124,15,19,4
3840.0,960,128,15,19,1
3872.0,985,128,15,19,1
3904.0,945,128,15,19,4
3936.0,955,132,15,19,2
3968.0,970,132,15,19,4
4000.0,990,132,15,19,5
4032.0,995,136,15,19,6
4064.0,1015,136,15,19,2
4096.0,1020,140,15,19,0
