Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,16,0,14
32.0,50,0,12,16,0,8
48.0,50,0,12,16,0,8
64.0,50,0,12,16,0,23
80.0,50,0,12,16,0,38
96.0,50,0,12,16,0,31
112.0,50,0,12,16,0,36
128.0,55,0,12,16,0,41
144.0,60,0,12,16,0,32
160.0,80,0,12,16,0,41
176.0,95,0,12,16,0,41
192.0,105,0,12,16,0,14
208.0,105,0,12,16,0,14
224.0,110,0,12,16,0,21
240.0,115,0,12,16,0,38
256.0,115,0,12,16,0,31
272.0,130,0,12,16,0,41
288.0,145,0,12,16,0,17
304.0,155,0,12,16,0,5
320.0,165,0,12,16,0,23
336.0,170,0,12,16,0,2
352.0,170,0,12,16,0,2
368.0,175,0,12,16,0,2
384.0,180,0,12,16,0,2
400.0,200,0,12,16,0,2
416.0,210,0,12,16,0,2
432.0,220,0,12,16,0,2
448.0,225,0,12,16,0,16
464.0,230,0,12,16,0,14
480.0,240,0,12,16,0,31
496.0,245,0,12,16,0,40
512.0,250,0,12,16,0,24
528.0,265,0,12,16,0,20
544.0,275,0,12,16,0,38
560.0,285,0,12,16,0,41
576.0,285,0,12,16,0,37
592.0,300,0,12,16,0,32
608.0,305,0,12,16,0,12
624.0,305,0,12,16,0,12
640.0,310,0,12,16,0,12
656.0,330,0,12,16,0,12
672.0,340,0,12,16,0,12
688.0,350,0,12,16,0,12
704.0,355,0,12,16,0,12
720.0,360,0,12,16,0,41
736.0,365,0,12,16,0,29
752.0,375,0,12,16,0,3
768.0,380,0,12,16,0,15
784.0,390,0,12,16,0,9
800.0,410,0,12,16,0,10
816.0,410,0,12,16,0,4
832.0,410,0,12,16,0,16
848.0,420,0,12,16,0,20
864.0,425,0,12,16,0,22
880.0,430,0,12,16,0,3
896.0,445,0,12,16,0,15
912.0,460,0,12,16,0,17
928.0,465,0,12,16,0,13
944.0,465,0,12,16,0,13
960.0,470,0,12,16,0,13
976.0,480,0,12,16,0,13
992.0,485,0,12,16,0,13
1008.0,495,0,12,16,0,13
1024.0,510,0,12,16,0,13
1040.0,515,0,12,16,0,17
1056.0,445,0,12,16,0,11
1072.0,450,0,12,16,0,32
1088.0,455,0,12,16,0,7
1104.0,340,0,12,16,0,4
1120.0,350,0,12,16,0,40
