Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
1,1.000,100,0,0,0,20160,Done,False
2,0.999,200,0,0,0,20160,Done,False
3,0.998,0,0,0,0,20160,Done,False
4,0.997,50,0,0,0,20160,Done,False
5,0.996,200,0,0,0,20160,Done,False
6,0.995,100,0,0,0,20160,Done,False
7,0.994,200,0,0,0,20160,Done,False
8,0.993,100,0,0,0,20160,Done,False
9,0.992,50,0,0,0,20160,Done,False
10,0.991,100,0,0,0,20160,Done,False
11,0.990,200,0,0,0,20160,Done,False
12,0.989,200,0,0,0,20160,Done,False
13,0.988,200,0,0,0,20160,Done,False
14,0.987,200,0,0,0,20160,Done,False
15,0.986,100,0,0,0,20160,Done,False
16,0.985,50,0,0,0,20160,Done,False
17,0.984,0,0,0,0,20160,Done,False
18,0.983,200,0,0,0,20160,Done,False
19,0.982,0,0,0,0,20160,Done,False
20,0.981,200,0,0,0,20160,Done,False
21,0.980,200,0,0,0,20160,Done,False
22,0.979,100,0,0,0,20160,Done,False
23,0.978,50,0,0,0,20160,Done,False
24,0.977,200,0,0,0,20160,Done,False
25,0.976,200,0,0,0,20160,Done,False
26,0.975,100,0,0,0,20160,Done,False
27,0.974,200,0,0,0,20160,Done,False
28,0.973,0,0,0,0,20160,Done,False
29,0.972,400,0,0,0,20160,Done,False
30,0.971,200,0,0,0,20160,Done,False
31,0.970,200,0,0,0,20160,Done,False
32,0.969,200,0,0,0,20160,Done,False
33,0.968,100,0,0,0,20160,Done,False
34,0.968,100,0,0,0,20160,Done,False
35,0.967,200,0,0,0,20160,Done,False
36,0.966,200,0,0,0,20160,Done,False
37,0.965,200,0,0,0,20160,Done,False
38,0.964,0,0,0,0,20160,Done,False
39,0.963,200,0,0,0,20160,Done,False
40,0.962,50,0,0,0,20160,Done,False
41,0.961,200,0,0,0,20160,Done,False
42,0.960,100,0,0,0,20160,Done,False
43,0.959,200,0,0,0,20160,Done,False
44,0.958,0,0,0,0,20160,Done,False
45,0.957,50,0,0,0,20160,Done,False
