Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
0.0,50,0,12,16,0,1
16.0,50,0,12,16,0,6
32.0,50,0,12,16,0,1
48.0,50,0,12,16,0,42
64.0,50,0,12,16,0,2
80.0,50,0,12,16,0,16
96.0,50,0,12,16,0,11
112.0,50,0,12,16,0,14
128.0,55,0,12,16,0,41
144.0,60,0,12,16,0,42
160.0,80,0,12,16,0,6
176.0,95,0,12,16,0,11
192.0,100,0,12,16,0,47
208.0,30,0,12,16,0,6
224.0,35,0,12,16,0,11
240.0,40,0,12,16,0,2
256.0,40,0,12,16,0,6
272.0,55,0,12,16,0,14
288.0,65,0,12,16,0,11
304.0,75,0,12,16,0,34
320.0,85,0,12,16,0,18
336.0,90,0,12,16,0,42
352.0,90,0,12,16,0,18
368.0,95,0,12,16,0,41
384.0,100,0,12,16,0,42
400.0,115,0,12,16,0,47
416.0,120,0,12,16,0,41
432.0,125,0,12,16,0,16
448.0,135,0,12,16,0,6
464.0,135,0,12,16,0,11
480.0,145,0,12,16,0,6
496.0,145,0,12,16,0,2
512.0,150,0,12,16,0,11
528.0,160,0,12,16,0,18
544.0,165,0,12,16,0,18
560.0,175,0,12,16,0,6
576.0,180,0,12,16,0,6
592.0,185,0,12,16,0,11
608.0,190,0,12,16,0,2
624.0,190,0,12,16,0,2
640.0,195,0,12,16,0,2
656.0,205,0,12,16,0,2
672.0,215,0,12,16,0,2
688.0,220,0,12,16,0,2
704.0,225,0,12,16,0,2
720.0,230,0,12,16,0,42
736.0,235,0,12,16,0,14
752.0,240,0,12,16,0,1
768.0,145,0,12,16,0,14
784.0,150,0,12,16,0,42
800.0,170,4,12,16,0,18
816.0,170,4,12,16,0,41
832.0,170,4,12,16,0,1
848.0,80,4,12,16,0,18
864.0,85,4,12,16,0,42
880.0,85,4,12,16,0,14
896.0,95,8,12,16,0,14
912.0,105,8,12,16,0,11
928.0,115,8,12,16,0,6
944.0,115,8,12,16,0,6
960.0,115,8,12,16,0,2
976.0,125,8,12,16,0,18
992.0,130,12,12,16,0,42
1008.0,135,12,12,16,0,34
1024.0,145,12,12,16,0,41
1040.0,150,12,12,16,0,6
1056.0,160,12,12,16,0,18
1072.0,160,12,12,16,0,1
1088.0,65,12,12,16,0,41
1104.0,175,12,12,16,0,42
1120.0,180,12,12,16,0,34
1136.0,185,12,12,16,0,6
1152.0,195,12,12,16,0,41
1168.0,200,12,12,16,0,47
1184.0,205,12,12,16,0,18
1200.0,205,12,12,16,0,2
1216.0,210,12,12,16,0,2
1232.0,220,12,12,16,0,2
1248.0,225,12,12,16,0,2
1264.0,235,12,12,16,0,2
1280.0,240,12,12,16,0,2
1296.0,245,12,12,16,0,2
1312.0,95,12,12,16,0,42
1328.0,105,12,12,16,0,16
1344.0,115,12,12,16,0,18
1360.0,115,12,12,16,0,1
1376.0,120,12,12,16,0,34
1392.0,35,12,12,16,0,14
