Time,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,8
32.0,50,0,12,16,0
64.0,50,0,12,16,0
96.0,50,0,12,16,1
192.0,110,0,12,16,1
224.0,60,0,12,16,8
288.0,100,0,12,16,1
384.0,100,0,12,16,0
416.0,120,0,12,16,6
448.0,130,0,12,16,6
480.0,140,0,13,16,0
512.0,160,0,13,16,5
544.0,180,0,13,16,3
576.0,115,0,13,16,3
608.0,135,0,13,19,1
640.0,150,0,13,19,3
672.0,160,0,13,19,8
704.0,185,0,13,19,2
736.0,95,0,14,19,3
768.0,100,0,14,19,7
800.0,125,0,14,19,4
864.0,145,0,14,16,9
928.0,190,0,14,19,7
960.0,200,0,14,19,1
992.0,210,0,14,19,4
1024.0,235,0,14,19,8
1088.0,265,0,14,19,6
1120.0,270,0,14,19,4
1152.0,300,0,14,19,8
1184.0,310,4,14,19,7
1216.0,325,4,14,19,6
1248.0,345,4,14,19,0
1280.0,360,8,14,19,2
1312.0,270,8,14,19,5
1344.0,285,8,14,19,2
1376.0,205,12,14,19,2
1408.0,215,16,14,19,2
1440.0,230,20,14,19,1
1472.0,250,20,14,19,6
1504.0,255,24,14,19,3
1536.0,275,28,14,19,4
1568.0,290,28,14,19,3
1600.0,305,32,14,19,7
1760.0,375,48,14,19,3
1792.0,400,52,14,19,6
1824.0,405,52,14,19,8
1888.0,435,60,14,19,7
1920.0,460,60,14,19,5
1952.0,310,64,14,19,6
1984.0,330,68,14,19,7
2080.0,365,76,14,19,4
2112.0,390,80,14,19,0
2144.0,400,84,14,19,0
2176.0,410,84,14,19,1
2208.0,420,88,14,19,1
2240.0,395,92,14,19,0
2272.0,405,96,14,19,4
2304.0,415,96,14,19,1
2336.0,390,100,14,19,1
2368.0,345,104,14,19,8
2400.0,365,104,14,19,4
2432.0,375,108,14,19,2
2528.0,415,120,15,19,3
2560.0,435,120,15,19,2
2656.0,375,128,15,19,4
2688.0,385,132,15,19,8
2720.0,395,136,15,19,0
