Time,Minerals,Vespene,Supply,Marauders,Action_ID
0.0,50,0,12,0,5
2.0,50,0,12,0,4
4.0,50,0,12,0,4
6.0,50,0,12,0,2
8.0,50,0,12,0,4
10.0,50,0,12,0,3
12.0,50,0,12,0,2
14.0,50,0,12,0,4
16.0,50,0,12,0,7
18.0,50,0,12,0,1
20.0,50,0,12,0,3
22.0,50,0,12,0,3
24.0,50,0,12,0,5
26.0,50,0,12,0,0
28.0,50,0,12,0,0
30.0,50,0,12,0,1
32.0,50,0,12,0,1
34.0,0,0,13,0,0
36.0,0,0,13,0,1
38.0,0,0,13,0,6
40.0,0,0,13,0,4
42.0,0,0,13,0,4
44.0,0,0,13,0,7
46.0,0,0,13,0,2
48.0,0,0,13,0,3
50.0,0,0,13,0,0
52.0,0,0,13,0,3
54.0,0,0,13,0,6
56.0,0,0,13,0,4
58.0,0,0,13,0,6
60.0,0,0,13,0,1
62.0,0,0,13,0,6
64.0,0,0,13,0,2
66.0,0,0,13,0,7
68.0,0,0,13,0,3
70.0,0,0,13,0,4
72.0,0,0,13,0,5
74.0,0,0,13,0,3
76.0,0,0,13,0,6
78.0,0,0,13,0,6
80.0,0,0,13,0,2
82.0,0,0,13,0,3
84.0,0,0,13,0,4
86.0,0,0,13,0,4
88.0,0,0,13,0,2
90.0,0,0,13,0,4
92.0,0,0,13,0,7
94.0,0,0,13,0,3
96.0,0,0,13,0,6
98.0,0,0,13,0,5
100.0,0,0,13,0,5
102.0,0,0,13,0,2
104.0,0,0,13,0,0
106.0,0,0,13,0,0
108.0,0,0,13,0,7
110.0,0,0,13,0,1
112.0,5,0,13,0,2
114.0,5,0,13,0,6
116.0,5,0,13,0,6
118.0,5,0,13,0,0
120.0,5,0,13,0,4
122.0,5,0,13,0,7
124.0,5,0,13,0,1
126.0,5,0,13,0,0
128.0,10,0,13,0,6
130.0,10,0,13,0,1
132.0,10,0,13,0,5
134.0,15,0,13,0,1
136.0,15,0,13,0,1
138.0,15,0,13,0,7
140.0,15,0,13,0,4
142.0,15,0,13,0,4
144.0,25,0,13,0,5
146.0,25,0,13,0,3
148.0,25,0,13,0,7
150.0,25,0,13,0,6
152.0,25,0,13,0,3
154.0,25,0,13,0,4
156.0,25,0,13,0,5
158.0,25,0,13,0,7
160.0,25,0,13,0,6
162.0,30,0,13,0,4
164.0,35,0,13,0,6
166.0,35,0,13,0,1
168.0,40,0,13,0,3
170.0,40,0,13,0,1
172.0,40,0,13,0,1
174.0,45,0,13,0,2
176.0,45,0,13,0,6
178.0,45,0,13,0,6
180.0,50,0,13,0,2
