Time,Minerals,Vespene,Workers,Ideal,Action_ID,Marauders_Produced
0.0,50,0,12,16,1,0
16.0,50,0,12,16,5,0
32.0,50,0,12,16,6,0
48.0,50,0,12,16,3,0
64.0,50,0,12,16,5,0
80.0,50,0,12,16,4,0
96.0,50,0,12,16,6,0
112.0,55,0,12,16,4,0
128.0,60,0,12,16,1,0
144.0,70,0,12,16,6,0
160.0,80,0,12,16,5,0
176.0,95,0,12,16,3,0
192.0,30,0,12,16,6,0
208.0,30,0,12,16,5,0
256.0,45,0,12,19,3,0
272.0,55,0,12,19,1,0
288.0,60,0,12,19,1,0
304.0,30,0,12,19,4,0
320.0,30,0,12,19,4,0
336.0,30,0,12,19,2,0
352.0,30,0,12,19,5,0
368.0,45,0,12,19,2,0
384.0,55,0,12,19,1,0
400.0,55,0,12,19,1,0
416.0,15,0,12,19,6,0
432.0,25,0,12,19,6,0
448.0,30,0,12,19,1,0
464.0,30,0,12,19,1,0
480.0,40,0,12,19,5,0
496.0,50,0,12,19,1,0
512.0,55,0,12,19,5,0
528.0,60,0,12,19,1,0
544.0,70,0,12,19,1,0
560.0,25,0,13,19,4,0
576.0,35,0,13,19,5,0
592.0,45,0,13,19,1,0
608.0,45,0,13,19,4,0
624.0,50,0,13,19,1,0
640.0,10,0,13,19,5,0
656.0,15,0,13,19,2,0
672.0,20,0,13,19,3,0
688.0,45,0,13,19,2,0
704.0,50,0,13,19,3,0
720.0,50,0,13,19,2,0
736.0,50,0,13,19,3,0
768.0,65,4,13,19,3,0
784.0,70,4,13,19,5,0
800.0,85,4,13,19,2,0
816.0,105,8,13,19,3,0
832.0,30,8,14,19,4,0
848.0,30,12,14,19,5,0
864.0,30,12,14,19,4,0
880.0,35,12,14,19,1,0
896.0,50,12,14,19,1,0
912.0,60,16,14,19,5,0
928.0,70,16,14,22,2,0
960.0,80,20,14,22,6,0
1008.0,90,24,14,22,1,0
1024.0,105,28,14,22,2,0
1040.0,105,28,14,22,3,0
1056.0,120,28,14,22,6,0
1072.0,125,28,14,22,5,0
1088.0,125,32,14,22,1,0
1104.0,135,32,15,22,2,0
1120.0,140,36,15,22,5,0
1136.0,155,36,15,22,5,0
1152.0,155,40,15,22,6,0
1168.0,155,40,15,22,4,0
1184.0,175,44,15,22,6,0
1200.0,175,44,15,22,1,0
1216.0,180,48,15,22,6,0
1232.0,195,48,15,22,6,0
1248.0,200,52,15,22,5,0
1264.0,210,52,15,22,6,0
1280.0,210,56,15,22,3,0
1296.0,215,56,15,22,5,0
1312.0,235,60,15,22,1,0
1328.0,235,60,15,22,5,0
1344.0,245,64,15,22,3,0
1360.0,255,64,15,22,3,0
1376.0,260,68,15,22,5,0
1408.0,270,72,15,22,4,0
1424.0,280,72,15,22,4,0
1440.0,290,72,15,22,4,0
1472.0,305,80,15,22,4,0
1488.0,310,80,15,22,6,0
1520.0,325,84,15,22,2,0
1536.0,225,84,15,22,2,0
1568.0,250,92,15,22,4,0
1584.0,260,92,15,22,2,0
1616.0,265,96,15,22,5,0
1648.0,270,104,15,22,2,0
1664.0,270,104,15,22,2,0
1680.0,285,108,15,22,6,0
1696.0,295,108,15,22,4,0
1712.0,300,108,15,22,1,0
1728.0,305,112,15,22,3,0
1744.0,305,116,15,22,1,0
1760.0,315,120,15,22,4,0
1776.0,320,124,15,22,5,0
1792.0,325,124,15,22,6,0
1824.0,355,132,15,22,4,0
1872.0,360,140,15,22,3,0
1888.0,365,140,15,22,4,0
1920.0,370,144,15,22,6,0
1936.0,385,148,15,22,6,0
1952.0,400,152,15,22,1,0
1968.0,405,152,15,22,6,0
1984.0,405,156,15,22,6,0
2000.0,405,160,15,22,5,0
2016.0,415,160,15,22,6,0
2032.0,420,164,15,22,4,0
2048.0,425,168,15,22,3,0
2064.0,440,168,15,22,5,0
2080.0,300,172,15,22,5,0
2096.0,300,172,15,22,4,0
2112.0,300,184,15,22,2,0
2128.0,355,184,15,22,3,0
2144.0,360,188,15,22,2,0
2160.0,365,188,15,22,5,0
2176.0,220,192,15,22,2,0
2192.0,235,192,15,22,4,0
2208.0,240,200,15,22,5,0
2224.0,240,200,15,22,1,0
2240.0,245,204,15,22,3,0
2256.0,250,204,15,22,1,0
2272.0,250,208,15,22,1,0
2288.0,200,212,15,22,2,0
2304.0,220,216,16,22,2,0
2320.0,220,216,16,22,3,0
2336.0,230,220,16,22,3,0
2352.0,230,220,16,22,6,0
2368.0,230,228,16,22,2,0
2384.0,235,228,16,22,5,0
2400.0,235,232,16,22,2,0
2416.0,245,232,16,22,6,0
2432.0,260,236,16,22,4,0
2448.0,265,236,16,22,4,0
2464.0,265,244,16,22,3,0
2480.0,265,244,16,22,2,0
2496.0,270,248,16,22,2,0
2512.0,280,248,16,22,3,0
2528.0,280,252,16,22,1,0
2544.0,300,256,16,22,5,0
2560.0,305,260,16,22,1,0
2576.0,255,260,17,22,5,0
2592.0,255,260,17,22,3,0
2608.0,260,264,17,22,5,0
2624.0,265,268,17,22,5,0
2640.0,270,272,17,22,5,0
2656.0,275,272,17,22,6,0
2672.0,290,276,17,22,5,0
2688.0,295,276,17,22,4,0
2704.0,295,280,17,22,3,0
2720.0,300,284,17,22,5,0
2736.0,305,288,17,22,6,0
2752.0,320,288,17,22,2,0
2768.0,320,292,17,22,1,0
2784.0,325,292,17,22,3,0
