Time,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,4
32.0,50,0,12,16,1
128.0,60,0,12,16,3
160.0,80,0,12,16,5
192.0,110,0,12,16,8
224.0,110,0,12,16,0
256.0,135,0,12,16,6
288.0,150,0,12,16,8
320.0,170,0,12,16,9
384.0,200,0,12,16,2
416.0,115,0,12,16,0
448.0,125,0,12,16,3
480.0,160,0,12,16,3
576.0,210,0,12,19,4
608.0,225,0,12,19,6
640.0,240,0,12,19,1
672.0,255,0,12,19,3
704.0,275,0,12,19,5
768.0,295,0,12,16,9
832.0,330,0,12,19,5
864.0,345,0,12,19,1
896.0,350,0,12,19,6
928.0,375,0,12,19,0
960.0,390,0,12,19,2
1024.0,415,0,12,16,8
1184.0,495,8,12,19,4
1216.0,505,8,12,19,7
1248.0,520,12,12,19,4
1280.0,525,12,12,19,8
1344.0,560,20,12,19,2
1376.0,470,20,12,19,6
1408.0,485,20,12,19,1
1440.0,500,24,12,19,0
1472.0,515,24,12,19,6
1504.0,525,24,12,19,6
1536.0,535,28,12,19,4
1568.0,565,28,12,19,1
1600.0,515,32,12,19,6
1632.0,525,32,12,19,0
1664.0,540,32,12,19,1
1824.0,565,40,12,19,6
1920.0,610,44,13,19,1
1952.0,570,48,13,19,2
1984.0,575,48,13,19,1
2016.0,595,48,13,19,5
2048.0,620,52,13,19,2
2080.0,525,52,13,19,5
2112.0,495,52,14,19,0
2144.0,500,52,14,19,4
2176.0,520,52,14,19,3
2208.0,530,52,14,19,7
2240.0,555,52,14,19,6
2272.0,565,52,14,19,2
2304.0,575,52,14,19,8
2336.0,605,52,14,19,4
2368.0,615,52,14,19,2
2400.0,530,52,15,19,0
2432.0,555,52,15,19,7
2464.0,565,52,15,19,0
2528.0,590,52,15,16,8
2592.0,620,52,15,19,7
2624.0,635,52,15,19,1
2656.0,665,52,15,19,1
2688.0,630,52,15,19,2
2720.0,640,52,15,19,6
2752.0,645,52,15,19,5
2784.0,675,52,15,19,8
2880.0,725,52,15,19,7
2912.0,735,52,15,19,5
2944.0,755,52,16,19,1
2976.0,780,52,16,19,0
3008.0,790,52,16,19,4
3040.0,800,52,16,19,8
3072.0,820,52,16,19,6
3168.0,870,52,16,19,6
3200.0,850,27,16,19,2
3232.0,855,27,16,19,3
3264.0,875,27,16,19,1
3296.0,890,27,16,19,5
3328.0,915,27,16,19,5
3360.0,930,27,16,19,6
3392.0,940,27,16,19,7
3424.0,965,27,16,19,3
3456.0,980,27,16,19,3
3488.0,995,27,16,19,4
3520.0,1020,27,16,19,8
3584.0,1050,27,16,19,0
3776.0,1155,27,16,16,8
3808.0,1180,27,16,16,5
3840.0,1040,27,16,16,3
3872.0,1050,27,16,16,4
3904.0,1080,27,16,16,3
3936.0,1085,27,16,16,2
3968.0,1005,27,16,16,0
4064.0,1045,27,16,19,3
4096.0,1065,27,16,19,1
4128.0,1075,27,16,19,7
4160.0,1100,27,16,19,6
4192.0,1115,27,16,19,2
4288.0,1165,27,16,19,6
4320.0,1175,27,16,19,0
4352.0,1185,27,16,19,7
4384.0,1205,27,16,19,4
4416.0,1225,27,16,19,8
4480.0,1245,27,16,19,4
4576.0,1300,27,16,19,5
4608.0,1310,27,16,19,3
4640.0,1330,27,16,19,8
4672.0,1350,27,16,19,8
4736.0,1375,27,16,19,1
4768.0,1395,27,16,19,5
4800.0,1410,27,16,19,2
4832.0,1330,27,16,19,3
4864.0,1340,27,16,19,3
4896.0,1360,27,16,19,5
4928.0,1370,27,16,19,7
4960.0,1380,27,16,19,7
4992.0,1400,27,16,19,2
5024.0,1325,27,16,19,0
5056.0,1330,27,16,19,2
5088.0,1340,27,16,19,3
5120.0,1355,27,16,19,7
5152.0,1380,27,16,19,3
5184.0,1385,27,16,19,6
5216.0,1400,27,16,19,2
5248.0,1410,27,16,19,0
5280.0,1440,27,16,19,3
5312.0,1440,27,16,19,2
5344.0,1455,27,16,19,8
5376.0,1475,27,16,16,7
5408.0,1495,27,16,16,4
5440.0,1500,27,16,16,3
5472.0,1515,27,16,16,1
5504.0,1530,27,16,16,3
5536.0,1550,27,16,16,4
5632.0,1585,27,16,19,0
5664.0,1605,27,16,19,5
5696.0,1620,27,16,19,8
5728.0,1630,27,16,19,1
5760.0,1655,27,16,19,6
5792.0,1660,27,16,19,8
5824.0,1675,27,16,16,9
5856.0,1685,27,16,16,9
5888.0,1715,27,16,16,9
5952.0,1730,27,16,19,3
5984.0,1745,27,16,19,0
6016.0,1770,27,16,19,0
6048.0,1780,27,16,19,4
6080.0,1785,27,16,19,4
6112.0,1805,27,16,19,0
6144.0,1830,27,16,19,0
6176.0,1835,27,16,19,6
6208.0,1845,27,16,19,4
6240.0,1860,27,16,19,7
6272.0,1885,27,16,19,0
6304.0,1895,27,16,19,6
6336.0,1905,27,16,19,3
6368.0,1915,27,16,19,5
6400.0,1935,27,16,19,1
6432.0,1955,27,16,19,6
6464.0,1970,27,16,19,7
6496.0,1970,27,16,19,2
6528.0,2000,27,16,19,3
6560.0,2010,27,16,19,5
6624.0,2030,27,16,16,8
6656.0,2060,27,16,16,8
6720.0,2080,27,16,19,8
6752.0,2105,27,16,19,5
6784.0,2110,27,16,19,3
6816.0,2120,27,16,19,1
6848.0,2140,27,16,19,2
6880.0,2165,27,16,19,6
6912.0,2170,27,16,19,6
6944.0,2180,27,16,19,2
6976.0,2090,27,16,19,8
7040.0,2120,27,16,19,2
7072.0,2130,27,16,19,8
7104.0,2140,27,16,16,4
7136.0,2170,27,16,16,4
7168.0,2170,27,16,16,0
7200.0,2185,27,16,16,2
7232.0,2195,27,16,16,4
7264.0,2215,27,16,16,6
7296.0,2225,27,16,16,5
7520.0,2320,27,16,19,4
7552.0,2330,27,16,19,8
7584.0,2340,27,16,19,5
7616.0,2350,27,16,19,3
7648.0,2365,27,16,19,2
7680.0,2385,27,16,19,8
7712.0,2395,27,16,16,9
7744.0,2005,27,16,16,9
7808.0,2030,27,16,19,4
7840.0,2045,27,16,19,2
7872.0,2065,27,16,19,8
7904.0,2070,27,16,16,6
7968.0,2090,27,16,16,2
8000.0,2115,27,16,16,1
8032.0,2115,27,16,16,6
8064.0,2120,27,16,16,5
8096.0,2140,27,16,16,0
8128.0,2160,27,16,16,8
8192.0,2175,27,16,19,5
8224.0,2185,27,16,19,4
8256.0,2205,27,16,19,3
8288.0,2210,27,16,19,7
8320.0,2230,27,16,19,5
8352.0,2230,27,16,19,8
8384.0,2255,27,16,19,1
8416.0,2260,27,16,19,2
8448.0,2275,27,16,19,2
8480.0,2280,27,16,19,5
8512.0,2295,27,16,19,6
8544.0,2310,27,16,19,7
8576.0,2320,27,16,19,2
8608.0,2325,27,16,19,2
8640.0,2345,27,16,19,8
8672.0,2360,27,16,16,9
8704.0,2370,27,16,16,8
8736.0,2380,27,16,16,8
8768.0,2395,27,16,19,0
8800.0,2400,27,16,19,2
8832.0,2415,27,16,19,1
8864.0,2430,27,16,19,0
8896.0,2440,27,16,19,8
8928.0,2450,27,16,16,8
8960.0,2465,27,16,16,1
8992.0,2485,27,16,16,7
9024.0,2495,27,16,16,6
9056.0,2450,2,16,16,5
9088.0,2460,2,16,16,1
9120.0,2480,2,16,16,8
9184.0,2495,2,16,19,0
9248.0,2530,2,16,16,4
9280.0,2540,2,16,16,7
9312.0,2545,2,16,16,7
9344.0,2550,2,16,16,2
9376.0,2570,2,16,16,7
9408.0,2590,2,16,16,7
9440.0,2595,2,16,16,8
9472.0,2600,2,16,19,2
9504.0,2625,2,16,19,7
9600.0,2650,2,16,16,6
9632.0,2675,2,16,16,5
9664.0,2525,2,16,16,0
9696.0,2540,2,16,16,2
9728.0,2600,2,16,16,6
9760.0,2620,2,16,16,6
9824.0,2640,2,16,16,4
9888.0,2665,2,16,16,2
9920.0,2575,2,16,16,2
9952.0,2585,2,16,16,4
9984.0,2600,2,16,16,5
10016.0,2565,2,16,16,1
10048.0,2570,2,16,16,0
10080.0,2580,2,16,16,7
10112.0,2600,2,16,16,4
10144.0,2615,2,16,16,7
10176.0,2620,2,16,16,4
10240.0,2650,2,16,16,8
10272.0,2660,2,16,16,8
10304.0,2665,2,16,16,6
10368.0,2700,2,16,16,3
10400.0,2710,2,16,16,6
10432.0,2715,2,16,16,6
10464.0,2730,2,16,16,4
10496.0,2745,2,16,16,6
10528.0,2755,2,16,16,6
10560.0,2765,2,16,16,6
10592.0,2775,2,16,16,2
10624.0,2795,2,16,16,2
10656.0,2795,2,16,16,7
10688.0,2820,2,16,16,6
10720.0,2830,2,16,16,0
10752.0,2840,2,16,16,1
10784.0,2850,2,16,16,3
10816.0,2865,2,16,16,7
10848.0,2875,2,16,16,2
10880.0,2890,2,16,16,7
10912.0,2895,2,16,16,6
10944.0,2910,2,16,16,3
10976.0,2920,2,16,16,4
11008.0,2940,2,16,16,1
11072.0,2955,2,16,16,2
11104.0,2975,2,16,16,8
11136.0,2985,2,16,19,0
11168.0,2995,2,16,19,8
11200.0,3000,2,16,16,1
11264.0,3035,2,16,16,3
11296.0,3040,2,16,16,7
11328.0,3055,2,16,16,5
11392.0,3080,2,16,16,7
11424.0,3090,2,16,16,3
11456.0,3100,2,16,16,7
11488.0,3120,2,16,16,6
11552.0,3145,2,16,16,7
11584.0,3145,2,16,16,3
11616.0,3165,2,16,16,3
11648.0,3105,2,16,16,0
11680.0,3115,2,16,19,2
11712.0,3125,2,16,19,5
11744.0,3135,2,16,19,2
11776.0,3050,2,16,19,5
11808.0,3060,2,16,19,7
11840.0,3070,2,16,19,8
11872.0,3090,2,16,16,0
11904.0,3095,2,16,16,8
11968.0,3120,2,16,19,6
12000.0,3140,2,16,19,2
12032.0,3145,2,16,19,8
12064.0,3150,2,16,19,5
12096.0,3165,2,16,19,4
12128.0,3185,2,16,19,7
12160.0,3190,2,16,19,7
12192.0,3205,2,16,19,1
12224.0,3215,2,16,19,8
12288.0,3235,2,16,19,3
12320.0,3250,2,16,19,5
12352.0,3265,2,16,19,7
12384.0,3275,2,16,19,0
12416.0,3290,2,16,19,5
12480.0,3315,2,16,19,0
12512.0,3330,2,16,19,1
12576.0,3350,2,16,19,5
12608.0,3365,2,16,19,1
12640.0,3375,2,16,19,4
12672.0,3375,2,16,19,6
12704.0,3400,2,16,19,8
12736.0,3420,2,16,16,7
12768.0,3420,2,16,16,8
12800.0,3430,2,16,19,5
12832.0,3450,2,16,19,0
12864.0,3465,2,16,19,2
12896.0,3470,2,16,19,4
12928.0,3475,2,16,19,5
12960.0,3505,2,16,19,3
12992.0,3510,2,16,19,6
13024.0,3520,2,16,19,5
13056.0,3525,2,16,19,6
13120.0,3565,2,16,19,7
13152.0,3565,2,16,19,2
13184.0,3585,2,16,19,2
13216.0,3590,2,16,19,7
13280.0,3620,2,16,19,2
13312.0,3630,2,16,19,0
13344.0,3645,2,16,19,2
13376.0,3650,2,16,19,0
13408.0,3670,2,16,19,8
13440.0,3680,2,16,19,8
