Time,Minerals,Vespene,Workers,Ideal,Command
0.0,50,0,12,16,PRODUCE_GHOST
112.0,55,0,12,16,PRODUCE_GHOST
128.0,60,0,12,16,BUILD_INFRA
144.0,75,0,12,16,PRODUCE_MARAUDER
176.0,95,0,12,16,SCAN
224.0,110,0,12,16,BOOST_ECONOMY
272.0,140,0,12,16,BUILD_INFRA
288.0,150,0,12,16,PRODUCE_GHOST
304.0,165,0,12,16,PRODUCE_MARAUDER
320.0,170,0,12,16,BUILD_INFRA
352.0,70,0,12,16,SCAN
384.0,95,0,12,16,PRODUCE_MARAUDER
400.0,95,0,12,16,SCAN
416.0,115,0,12,16,BOOST_ECONOMY
432.0,125,0,12,16,SCAN
448.0,125,0,12,16,SCAN
464.0,125,0,12,16,BOOST_ECONOMY
480.0,85,0,12,16,PRODUCE_GHOST
496.0,100,0,12,16,PRODUCE_GHOST
544.0,120,0,12,16,SCAN
576.0,135,0,12,16,SCAN
592.0,140,0,12,16,PRODUCE_MARAUDER
608.0,150,0,12,16,PRODUCE_MARAUDER
624.0,155,0,12,16,SCAN
640.0,160,0,12,16,EXPAND
672.0,180,0,12,16,BOOST_ECONOMY
688.0,195,0,12,16,BOOST_ECONOMY
704.0,150,0,12,16,BOOST_ECONOMY
752.0,115,0,13,16,BUILD_INFRA
768.0,115,0,13,16,BUILD_INFRA
784.0,25,0,13,16,PRODUCE_GHOST
800.0,45,0,13,16,PRODUCE_GHOST
816.0,50,0,13,16,BUILD_INFRA
832.0,50,0,13,16,BOOST_ECONOMY
848.0,55,0,13,16,BUILD_INFRA
864.0,65,0,13,16,PRODUCE_GHOST
880.0,65,0,13,16,BUILD_INFRA
896.0,75,0,13,16,BOOST_ECONOMY
912.0,95,0,13,16,REASSIGN_IDLE
928.0,105,0,13,16,REASSIGN_IDLE
944.0,105,0,13,16,REASSIGN_IDLE
960.0,110,0,13,16,REASSIGN_IDLE
976.0,115,0,13,16,REASSIGN_IDLE
992.0,120,0,13,16,REASSIGN_IDLE
1008.0,125,0,14,16,REASSIGN_IDLE
1024.0,140,0,14,16,REASSIGN_IDLE
1040.0,155,0,14,16,REASSIGN_IDLE
1056.0,155,0,14,16,REASSIGN_IDLE
1072.0,160,0,14,16,REASSIGN_IDLE
1088.0,165,0,14,16,REASSIGN_IDLE
