Time,Minerals,Vespene,Workers,Ideal,Action_ID
0.0,50,0,12,16,5
8.0,50,0,12,16,9
16.0,50,0,12,16,1
24.0,50,0,12,16,3
32.0,50,0,12,16,6
40.0,50,0,12,16,9
48.0,50,0,12,16,3
56.0,50,0,12,16,4
64.0,50,0,12,16,2
72.0,50,0,12,16,6
80.0,50,0,12,16,1
88.0,50,0,12,16,3
96.0,50,0,12,16,0
120.0,55,0,12,16,4
128.0,60,0,12,16,11
136.0,65,0,12,16,1
144.0,75,0,12,16,9
152.0,75,0,12,16,12
160.0,80,0,12,16,12
176.0,95,0,12,16,7
184.0,100,0,12,16,11
200.0,105,0,12,16,10
216.0,110,0,12,16,9
224.0,110,0,12,16,4
248.0,120,0,12,16,1
256.0,85,0,12,16,8
264.0,85,0,12,16,3
272.0,15,0,12,16,1
280.0,20,0,12,16,6
288.0,25,0,12,16,6
296.0,30,0,12,16,2
304.0,35,0,12,16,7
312.0,35,0,12,16,3
320.0,35,0,12,19,0
328.0,35,0,12,19,7
336.0,35,0,12,19,11
360.0,40,0,12,19,11
368.0,55,0,12,19,0
376.0,60,0,12,19,7
384.0,65,0,12,19,3
392.0,65,0,12,19,9
400.0,65,0,12,19,7
408.0,65,0,12,19,7
416.0,85,0,12,19,8
424.0,85,0,12,19,4
432.0,85,0,12,19,4
440.0,85,0,12,19,11
448.0,90,0,12,19,4
456.0,90,0,12,19,2
464.0,95,0,12,19,7
472.0,100,0,12,19,2
480.0,0,0,12,19,2
488.0,10,0,12,19,9
496.0,15,0,12,19,1
504.0,20,0,12,19,8
512.0,20,0,12,19,9
520.0,25,0,13,19,1
528.0,25,0,13,19,1
536.0,40,0,13,19,2
544.0,40,0,13,19,1
552.0,40,0,13,19,7
560.0,40,0,13,19,2
568.0,45,0,13,19,3
576.0,55,0,13,19,3
608.0,65,0,13,16,10
624.0,70,0,13,19,4
632.0,80,0,13,19,0
640.0,80,0,13,19,8
648.0,80,0,13,19,4
656.0,85,0,13,19,6
664.0,95,0,13,19,9
672.0,95,0,13,19,6
696.0,110,0,13,19,11
704.0,115,0,13,19,2
712.0,15,0,13,19,1
720.0,15,0,13,19,11
728.0,20,0,13,19,11
736.0,20,0,13,19,4
744.0,35,0,13,19,1
752.0,35,0,13,19,0
760.0,40,0,13,19,6
768.0,40,0,13,19,3
792.0,65,0,13,19,9
800.0,65,0,13,19,3
808.0,70,0,13,19,9
816.0,70,0,13,19,5
824.0,70,0,13,19,2
832.0,70,0,13,19,7
840.0,70,0,13,19,4
848.0,75,0,13,19,4
856.0,80,0,13,19,11
864.0,85,0,13,19,9
872.0,90,0,13,19,3
880.0,90,0,13,19,0
888.0,95,0,13,19,7
896.0,110,0,13,19,9
904.0,110,0,13,19,2
912.0,20,0,13,19,6
920.0,25,0,13,19,4
928.0,25,0,13,19,4
936.0,25,0,13,19,11
944.0,125,0,13,19,9
952.0,125,0,13,19,7
960.0,130,0,13,19,3
968.0,135,0,13,19,2
976.0,135,0,13,19,12
984.0,135,0,13,19,6
992.0,140,0,13,19,12
1000.0,140,0,13,16,12
1008.0,150,0,13,19,12
1024.0,160,0,13,19,12
1032.0,165,0,13,19,7
1040.0,175,0,13,19,5
1048.0,175,0,13,19,5
1056.0,180,0,13,19,8
1064.0,180,0,13,19,1
1088.0,190,0,13,19,7
1096.0,190,0,13,19,0
1104.0,190,0,13,19,7
1112.0,200,0,13,19,7
1120.0,205,0,13,19,5
1128.0,205,0,13,19,2
1136.0,215,0,13,19,7
1144.0,215,0,13,19,8
1152.0,220,0,13,19,5
1160.0,230,0,13,19,1
1168.0,230,0,13,19,6
1176.0,240,0,13,19,6
1184.0,240,0,13,19,5
1192.0,240,0,13,19,2
1200.0,140,0,13,19,3
1208.0,145,0,13,19,3
1216.0,145,0,13,19,8
1224.0,155,0,13,19,3
1232.0,155,0,13,19,5
1240.0,160,0,13,19,9
1248.0,165,0,13,19,8
1256.0,170,0,13,19,11
1264.0,170,0,13,19,0
1272.0,170,0,13,19,11
1280.0,170,0,13,16,11
1288.0,185,0,13,16,11
1296.0,185,0,13,16,11
1304.0,185,0,13,16,11
1312.0,185,0,13,16,11
1320.0,190,0,13,16,11
1344.0,200,0,13,19,4
1352.0,210,0,13,19,11
1360.0,210,0,13,19,11
1368.0,215,0,13,19,11
1376.0,220,0,13,19,11
1384.0,220,0,13,16,11
1392.0,220,0,13,16,6
1400.0,225,0,13,16,9
1408.0,230,0,13,16,11
1416.0,235,0,13,16,11
1424.0,235,0,13,16,11
1432.0,235,0,13,16,6
1440.0,250,0,13,16,11
1448.0,250,0,13,16,11
1456.0,250,0,13,16,12
1472.0,255,0,13,19,11
1480.0,255,0,13,19,11
1488.0,265,0,13,16,11
1496.0,270,0,13,16,11
1504.0,275,0,13,16,11
1512.0,275,0,13,16,11
1520.0,275,0,13,16,11
1528.0,275,0,13,16,11
1536.0,285,0,13,16,11
1544.0,285,0,13,16,4
1568.0,300,0,13,19,11
1576.0,305,0,13,19,11
1584.0,305,0,13,19,11
1592.0,305,0,13,16,3
1600.0,305,0,13,16,11
1608.0,310,0,13,16,1
1616.0,320,0,13,16,11
1624.0,325,0,13,16,7
1632.0,325,0,13,16,5
1640.0,325,0,13,16,11
1648.0,325,0,13,16,4
1656.0,335,0,13,16,11
1664.0,345,0,13,16,11
1672.0,345,0,13,16,11
1680.0,355,0,13,16,11
1688.0,355,0,13,16,11
1696.0,355,0,13,16,11
1704.0,355,0,13,16,11
1712.0,355,0,13,16,11
1720.0,355,0,13,16,11
1728.0,365,0,13,16,5
1736.0,370,0,13,16,11
1744.0,375,0,13,16,11
1752.0,375,0,13,16,11
1760.0,375,0,13,16,11
1768.0,385,0,13,16,4
1776.0,385,0,13,16,11
1784.0,395,0,13,16,11
1792.0,400,0,13,16,11
1800.0,405,0,13,16,8
1808.0,405,0,13,16,11
1816.0,405,0,13,16,1
1824.0,405,0,13,16,11
1832.0,410,0,13,16,11
1840.0,410,0,13,16,9
1848.0,415,0,13,16,11
1856.0,415,0,13,16,12
1864.0,425,0,13,19,11
1872.0,425,0,13,16,0
1880.0,435,0,13,16,11
1888.0,435,0,13,16,11
1896.0,435,0,13,16,11
1904.0,445,0,13,16,11
1912.0,450,0,13,16,11
1920.0,455,0,13,16,1
1928.0,455,0,13,16,11
1936.0,455,0,13,16,11
1944.0,460,0,13,16,7
1952.0,460,0,13,16,11
1960.0,460,0,13,16,11
1968.0,465,0,13,16,11
1976.0,465,0,13,16,6
1984.0,470,0,13,16,11
