Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
0,13:47:48,95.03,-0.000000,17.118486,17.069372,0.9823,2.00e-05
1,14:01:17,76.39,0.000000,12.057286,12.007753,0.9907,1.00e-04
2,14:01:37,118.15,0.000000,25.035425,24.985638,0.9957,1.00e-04
3,14:01:45,116.49,0.000000,25.379215,25.329683,0.9906,1.00e-04
4,14:01:51,94.48,0.000000,12.553652,12.503527,1.0025,1.00e-04
5,14:01:58,102.39,0.000000,22.447449,22.397495,0.9991,1.00e-04
6,14:02:05,93.5,0.000000,12.918756,12.869141,0.9923,1.00e-04
7,14:02:11,91.85,-0.000000,13.670730,13.621201,0.9906,1.00e-04
8,14:02:19,116.54,0.000000,23.008112,22.958664,0.9889,1.00e-04
9,14:02:25,102.39,0.000000,19.848440,19.798824,0.9923,1.00e-04
10,14:02:30,105.98,0.000000,23.513990,23.464798,0.9838,1.00e-04
11,14:02:37,105.55,0.000000,21.636906,21.587965,0.9788,1.00e-04
12,14:02:43,112.41,0.000000,22.482069,22.432705,0.9873,1.00e-04
13,14:02:48,116.01,0.000000,24.650267,24.600315,0.9990,1.00e-04
14,14:02:54,105.0,-0.000000,24.844408,24.794199,1.0042,1.00e-04
15,14:03:00,80.3,0.000000,12.371953,12.323014,0.9788,1.00e-04
16,14:03:06,92.23,0.000000,14.901740,14.852037,0.9941,1.00e-04
17,14:03:12,95.64,0.000000,18.492220,18.442684,0.9907,9.99e-05
18,14:03:18,92.0,-0.000000,14.128640,14.079533,0.9822,9.99e-05
19,14:03:24,86.55,-0.000000,15.036382,14.987522,0.9772,9.99e-05
20,14:03:30,108.9,0.000000,24.695669,24.645462,1.0042,9.99e-05
21,14:03:38,94.01,0.000000,17.831318,17.782042,0.9855,9.99e-05
22,14:03:44,109.93,0.000000,19.424799,19.375349,0.9890,9.99e-05
23,14:03:50,86.45,0.000000,18.044321,17.995043,0.9856,9.99e-05
24,14:03:56,103.53,0.000000,20.221447,20.170986,1.0092,9.99e-05
25,14:04:01,104.94,0.000000,21.642281,21.592579,0.9940,9.99e-05
26,14:04:07,72.89,0.000000,13.475653,13.426455,0.9839,9.99e-05
27,14:04:13,92.42,0.000000,21.003992,20.954460,0.9906,9.99e-05
28,14:04:19,108.59,0.000000,20.049398,19.999950,0.9889,9.99e-05
29,14:04:25,91.79,0.000000,16.242870,16.193508,0.9873,9.99e-05
30,14:04:30,94.46,-0.000000,17.000200,16.951181,0.9804,9.99e-05
