Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,-1810,13440,0,28
2,掠奪者任務,0.995,-1770,13440,0,36
3,掠奪者任務,0.990,-160,13440,3,33
4,掠奪者任務,0.985,5330,11408,5,16
5,掠奪者任務,0.980,-480,13440,2,39
6,掠奪者任務,0.975,4890,11248,5,18
7,掠奪者任務,0.970,-100,13440,3,35
8,掠奪者任務,0.966,-2070,13440,0,26
9,掠奪者任務,0.961,250,13440,4,30
10,掠奪者任務,0.956,-630,13440,2,34
11,掠奪者任務,0.951,-1750,13440,0,30
12,掠奪者任務,0.946,-1510,13440,0,38
13,掠奪者任務,0.942,-2010,13440,0,27
14,掠奪者任務,0.937,-1830,13440,0,34
15,掠奪者任務,0.932,5270,11696,5,14
16,掠奪者任務,0.928,4590,8848,5,8
17,掠奪者任務,0.923,-1400,13440,1,24
18,掠奪者任務,0.918,-960,13440,2,22
19,掠奪者任務,0.914,-1250,13440,1,30
20,掠奪者任務,0.909,4800,9168,5,15
21,掠奪者任務,0.905,-1780,13440,0,29
22,掠奪者任務,0.900,4950,10784,5,12
23,掠奪者任務,0.896,4890,10176,5,18
24,掠奪者任務,0.891,-1660,13440,0,32
25,掠奪者任務,0.887,-1920,13440,0,31
26,掠奪者任務,0.882,4980,10656,5,21
27,掠奪者任務,0.878,5690,11872,5,28
28,掠奪者任務,0.873,-1800,13440,0,35
29,掠奪者任務,0.869,4980,11152,5,21
30,掠奪者任務,0.865,4530,7104,5,6
31,掠奪者任務,0.860,-1310,13440,1,28
32,掠奪者任務,0.856,-1360,13440,0,43
33,掠奪者任務,0.852,4710,8688,5,12
34,掠奪者任務,0.848,4560,7200,5,7
35,掠奪者任務,0.843,-2110,13440,0,18
36,掠奪者任務,0.839,5040,12304,5,23
37,掠奪者任務,0.835,-1980,13440,0,29
38,掠奪者任務,0.831,-2130,13440,0,24
39,掠奪者任務,0.827,4560,7216,5,7
40,掠奪者任務,0.822,-1870,13440,0,26
41,掠奪者任務,0.818,-1870,13440,0,26
42,掠奪者任務,0.814,4680,8656,5,10
43,掠奪者任務,0.810,4890,12144,5,17
44,掠奪者任務,0.806,5390,11296,6,18
45,掠奪者任務,0.802,4560,7888,5,7
46,掠奪者任務,0.798,-2110,13440,0,18
47,掠奪者任務,0.794,4890,10432,5,18
48,掠奪者任務,0.790,4770,10144,5,14
49,掠奪者任務,0.786,4800,10720,5,14
50,掠奪者任務,0.782,280,13440,4,31
51,掠奪者任務,0.778,-960,13440,2,23
52,掠奪者任務,0.774,-1780,13440,0,29
53,掠奪者任務,0.771,-1170,13440,2,16
54,掠奪者任務,0.767,-1920,13440,0,30
55,掠奪者任務,0.763,-2160,13440,0,23
56,掠奪者任務,0.759,-1920,13440,0,31
57,掠奪者任務,0.755,5010,13120,7,22
58,掠奪者任務,0.751,4710,10512,5,12
59,掠奪者任務,0.748,-1230,13440,2,14
60,掠奪者任務,0.744,-1950,13440,0,30
61,掠奪者任務,0.740,-760,13440,3,13
62,掠奪者任務,0.737,-870,13440,2,26
63,掠奪者任務,0.733,-1980,13440,0,29
64,掠奪者任務,0.729,-1980,13440,0,28
65,掠奪者任務,0.726,5360,13136,6,17
66,掠奪者任務,0.722,-2160,13440,0,23
67,掠奪者任務,0.718,-2010,13440,0,28
68,掠奪者任務,0.715,4620,9456,5,9
69,掠奪者任務,0.711,-1960,13440,0,23
70,掠奪者任務,0.708,-1460,13440,1,23
71,掠奪者任務,0.704,-520,13440,3,21
72,掠奪者任務,0.701,5270,13328,5,14
73,掠奪者任務,0.697,-2100,13440,0,25
74,掠奪者任務,0.694,5240,10640,5,12
75,掠奪者任務,0.690,-2220,13440,0,21
76,掠奪者任務,0.687,-1990,13440,0,22
77,掠奪者任務,0.683,-2010,13440,0,28
78,掠奪者任務,0.680,4770,10016,5,14
79,掠奪者任務,0.676,-2160,13440,0,23
80,掠奪者任務,0.673,-2020,13440,0,21
81,掠奪者任務,0.670,-1200,13440,2,15
82,掠奪者任務,0.666,5100,13408,5,24
83,掠奪者任務,0.663,4680,8528,5,11
84,掠奪者任務,0.660,-2310,13440,0,18
85,掠奪者任務,0.656,-1920,13440,0,30
86,掠奪者任務,0.653,-2110,13440,0,18
87,掠奪者任務,0.650,-460,13440,3,23
88,掠奪者任務,0.647,5330,12528,5,16
89,掠奪者任務,0.643,-2190,13440,0,22
90,掠奪者任務,0.640,-930,13440,2,24
91,掠奪者任務,0.637,-2040,13440,0,27
92,掠奪者任務,0.634,4620,8848,5,9
93,掠奪者任務,0.631,-2200,13440,0,15
94,掠奪者任務,0.627,-610,13440,3,18
95,掠奪者任務,0.624,4770,11376,6,14
96,掠奪者任務,0.621,-1820,13440,1,11
97,掠奪者任務,0.618,-2430,13440,0,14
98,掠奪者任務,0.615,-2280,13440,0,19
99,掠奪者任務,0.612,4830,9376,5,16
100,掠奪者任務,0.609,-1700,13440,1,15
101,掠奪者任務,0.606,-2140,13440,0,17
102,掠奪者任務,0.603,-2230,13440,0,13
103,掠奪者任務,0.600,-2260,13440,0,13
104,掠奪者任務,0.597,-1930,13440,0,24
105,掠奪者任務,0.594,-2220,13440,0,21
106,掠奪者任務,0.591,-1550,13440,1,19
107,掠奪者任務,0.588,-2220,13440,0,21
108,掠奪者任務,0.585,-1950,13440,0,30
109,掠奪者任務,0.582,4710,10128,5,12
110,掠奪者任務,0.579,-2310,13440,0,17
111,掠奪者任務,0.576,-260,13440,4,13
112,掠奪者任務,0.573,-2110,13440,0,18
113,掠奪者任務,0.570,-2100,13440,0,25
114,掠奪者任務,0.568,-1080,13440,2,19
115,掠奪者任務,0.565,5330,11536,5,16
116,掠奪者任務,0.562,-2050,13440,0,20
117,掠奪者任務,0.559,-2250,13440,0,20
118,掠奪者任務,0.556,4860,12032,5,17
119,掠奪者任務,0.554,-1200,13440,2,15
120,掠奪者任務,0.551,-670,13440,3,16
121,掠奪者任務,0.548,-2070,13440,0,26
122,掠奪者任務,0.545,5270,12160,5,14
123,掠奪者任務,0.543,4590,8896,5,8
124,掠奪者任務,0.540,4710,10288,5,11
125,掠奪者任務,0.537,-2400,13440,0,15
126,掠奪者任務,0.534,-2430,13440,0,14
127,掠奪者任務,0.532,-2280,13440,0,19
128,掠奪者任務,0.529,-2050,13440,0,20
129,掠奪者任務,0.526,-2020,13440,0,21
130,掠奪者任務,0.524,-2850,13440,0,0
131,掠奪者任務,0.521,-1140,13440,2,17
132,掠奪者任務,0.519,-2490,13440,0,11
133,掠奪者任務,0.516,-2310,13440,0,18
134,掠奪者任務,0.513,-1140,13440,2,17
135,掠奪者任務,0.511,4770,12528,6,14
136,掠奪者任務,0.508,-2430,13440,0,14
137,掠奪者任務,0.506,5070,12544,5,23
138,掠奪者任務,0.503,-2340,13440,0,17
139,掠奪者任務,0.501,-2220,13440,0,21
140,掠奪者任務,0.498,4650,13088,5,10
141,掠奪者任務,0.496,-2170,13440,0,16
142,掠奪者任務,0.493,-260,13440,4,13
143,掠奪者任務,0.491,-1020,13440,2,21
144,掠奪者任務,0.488,-2340,13440,0,17
145,掠奪者任務,0.486,-1870,13440,0,26
146,掠奪者任務,0.483,-2340,13440,0,17
147,掠奪者任務,0.481,-1820,13440,1,11
148,掠奪者任務,0.479,-1950,13440,0,30
149,掠奪者任務,0.476,-1020,13440,2,21
150,掠奪者任務,0.474,-2550,13440,0,10
151,掠奪者任務,0.471,-2790,13440,0,2
152,掠奪者任務,0.469,-2340,13440,0,17
153,掠奪者任務,0.467,-2310,13440,0,18
154,掠奪者任務,0.464,-1110,13440,2,18
155,掠奪者任務,0.462,-2250,13440,0,20
156,掠奪者任務,0.460,-110,13440,4,18
157,掠奪者任務,0.458,-1730,13440,1,14
158,掠奪者任務,0.455,-2370,13440,0,16
159,掠奪者任務,0.453,-2400,13440,0,15
160,掠奪者任務,0.451,-1290,13440,2,12
161,掠奪者任務,0.448,-2400,13440,0,15
162,掠奪者任務,0.446,-2190,13440,0,22
163,掠奪者任務,0.444,-2490,13440,0,12
164,掠奪者任務,0.442,-3000,13440,0,0
165,掠奪者任務,0.440,-1640,13440,1,17
166,掠奪者任務,0.437,-3000,13440,0,0
167,掠奪者任務,0.435,-610,13440,4,18
168,掠奪者任務,0.433,-850,13440,3,10
169,掠奪者任務,0.431,-2440,13440,0,6
170,掠奪者任務,0.429,-2400,13440,0,15
