Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
16.0,50,0,12,0,0,45
32.0,50,0,12,0,0,45
48.0,50,0,12,0,0,41
64.0,50,0,12,0,0,45
80.0,50,0,12,0,0,45
96.0,50,0,12,0,0,45
112.0,50,0,12,0,0,45
128.0,55,0,12,0,0,45
144.0,60,0,12,0,0,11
160.0,80,0,12,0,0,41
176.0,95,0,12,0,0,45
192.0,105,0,12,0,0,41
208.0,105,0,12,0,0,45
224.0,110,0,12,0,0,14
240.0,115,0,12,0,0,45
256.0,115,0,12,0,0,45
272.0,130,0,12,0,0,45
288.0,145,0,12,0,0,14
304.0,155,0,12,0,0,45
320.0,165,0,12,0,0,14
336.0,170,0,12,0,0,45
352.0,170,0,12,0,0,41
368.0,175,0,12,0,0,45
384.0,180,0,12,0,0,1
400.0,100,0,12,0,0,45
416.0,110,0,12,0,0,45
432.0,120,0,12,0,0,45
448.0,125,0,12,0,0,45
464.0,125,0,12,0,0,45
480.0,135,0,12,0,0,45
496.0,140,0,12,0,0,45
512.0,145,0,12,0,0,45
528.0,160,0,12,0,0,45
544.0,170,0,12,0,0,45
560.0,180,0,12,0,0,45
576.0,180,0,12,0,0,41
592.0,190,0,12,0,0,45
608.0,195,0,12,0,0,45
624.0,195,0,12,0,0,45
640.0,200,0,12,0,0,45
656.0,170,0,12,0,0,14
672.0,180,0,12,0,0,2
688.0,190,0,12,0,0,45
704.0,195,0,12,0,0,45
720.0,195,0,12,0,0,45
736.0,200,0,12,0,0,45
752.0,210,0,12,0,0,45
768.0,215,0,12,0,0,45
784.0,225,0,12,0,0,45
800.0,250,0,12,0,0,11
816.0,175,0,12,0,0,45
832.0,175,0,12,0,0,45
848.0,175,0,12,0,0,45
864.0,180,0,12,0,0,45
880.0,185,0,12,0,0,45
896.0,200,0,12,0,0,45
912.0,215,0,12,0,0,45
928.0,225,0,13,0,0,45
944.0,225,0,13,0,0,45
960.0,230,0,13,0,0,45
976.0,230,0,13,0,0,42
992.0,235,0,13,0,0,45
1008.0,245,0,13,0,0,44
1024.0,260,0,13,0,0,45
1040.0,265,0,13,0,0,45
1056.0,275,0,13,0,0,45
1072.0,280,0,13,0,0,45
1088.0,285,0,13,0,0,45
1104.0,290,0,13,0,0,41
1120.0,300,0,13,0,0,2
1136.0,160,0,13,0,0,45
1152.0,170,0,13,0,0,2
1168.0,180,0,13,0,0,45
1184.0,180,0,13,0,0,45
1200.0,185,0,13,0,0,45
1216.0,195,0,13,0,1,11
1232.0,200,0,13,0,1,45
1248.0,200,0,13,0,1,34
1264.0,215,0,13,0,1,45
1280.0,225,0,13,0,1,16
1296.0,230,0,13,0,1,45
1312.0,235,0,13,0,1,45
1328.0,245,0,13,0,1,45
1344.0,250,0,13,0,1,45
1360.0,250,0,13,0,1,45
1376.0,265,0,13,0,1,45
1392.0,275,0,13,0,1,34
1408.0,275,0,13,0,1,44
1424.0,290,4,13,0,1,45
1440.0,290,4,13,0,1,16
1456.0,295,8,13,0,1,2
1472.0,150,8,13,0,1,1
1488.0,155,8,13,0,1,45
1504.0,165,8,13,0,1,45
1520.0,175,12,13,0,1,45
1536.0,180,12,13,0,2,45
1552.0,185,16,13,0,2,16
1568.0,190,16,13,0,2,45
1584.0,195,16,13,0,2,45
1600.0,200,16,13,0,2,42
1616.0,200,20,13,0,2,45
1632.0,225,20,13,0,2,45
1648.0,225,24,13,0,2,45
1664.0,230,24,13,0,2,45
1680.0,230,24,13,0,2,44
1696.0,240,24,13,0,2,44
1712.0,245,28,13,0,2,11
1728.0,250,28,13,0,2,45
1744.0,270,32,13,0,2,45
1760.0,270,32,13,0,2,45
1776.0,270,32,13,0,2,44
1792.0,275,32,13,0,2,45
1808.0,280,36,13,0,2,45
1824.0,290,36,13,0,2,2
1840.0,295,40,13,0,2,45
1856.0,300,40,13,0,2,45
1872.0,315,40,13,0,2,45
1888.0,315,40,13,0,2,42
1904.0,320,44,13,0,2,14
1920.0,325,44,13,0,2,45
1936.0,335,48,13,0,2,45
1952.0,340,48,13,0,2,45
1968.0,340,48,13,0,2,45
1984.0,300,48,13,0,2,14
2000.0,305,52,13,0,2,16
2016.0,310,52,13,0,2,45
2032.0,310,56,13,0,2,45
2048.0,320,56,13,0,2,45
2064.0,330,60,13,0,2,45
2080.0,330,60,13,0,2,45
2096.0,330,64,13,0,2,45
2112.0,350,64,13,0,2,45
2128.0,350,68,13,0,2,1
2144.0,355,68,13,0,2,45
2160.0,360,72,13,0,2,45
2176.0,370,72,13,0,2,41
