Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
1,掠奪者任務,1.000,1.0000,5664,5,0
2,掠奪者任務,0.995,1.0000,6112,5,0
3,掠奪者任務,0.990,1.0000,6768,5,0
4,掠奪者任務,0.985,1.0000,6384,5,0
5,掠奪者任務,0.980,1.0000,7408,5,0
6,掠奪者任務,0.975,-0.8940,13440,0,0
7,掠奪者任務,0.970,1.0000,5712,5,0
8,掠奪者任務,0.966,1.0000,6448,5,0
9,掠奪者任務,0.961,1.0000,6240,5,0
10,掠奪者任務,0.956,1.0000,6576,5,0
11,掠奪者任務,0.951,1.0000,8944,5,0
12,掠奪者任務,0.946,1.0000,6400,5,0
13,掠奪者任務,0.942,1.0000,5856,5,0
14,掠奪者任務,0.937,1.0000,6592,5,0
15,掠奪者任務,0.932,1.0000,6000,5,0
16,掠奪者任務,0.928,1.0000,6016,5,0
17,掠奪者任務,0.923,1.0000,6544,5,0
18,掠奪者任務,0.918,1.0000,6896,5,0
19,掠奪者任務,0.914,1.0000,6640,5,0
20,掠奪者任務,0.909,1.0000,6320,5,0
21,掠奪者任務,0.905,1.0000,8080,5,0
22,掠奪者任務,0.900,1.0000,6288,5,0
23,掠奪者任務,0.896,1.0000,6304,5,0
24,掠奪者任務,0.891,1.0000,6336,5,0
25,掠奪者任務,0.887,1.0000,6240,5,0
26,掠奪者任務,0.882,1.0000,6496,5,0
27,掠奪者任務,0.878,1.0000,8352,5,0
28,掠奪者任務,0.873,1.0000,6160,5,0
29,掠奪者任務,0.869,1.0000,10592,5,0
30,掠奪者任務,0.865,1.0000,10576,5,0
31,掠奪者任務,0.860,1.0000,6752,5,0
32,掠奪者任務,0.856,1.0000,5680,5,0
33,掠奪者任務,0.852,1.0000,8096,5,0
34,掠奪者任務,0.848,1.0000,7104,5,0
35,掠奪者任務,0.843,1.0000,6192,5,0
36,掠奪者任務,0.839,1.0000,9904,5,0
37,掠奪者任務,0.835,1.0000,6864,5,0
38,掠奪者任務,0.831,1.0000,6144,5,0
39,掠奪者任務,0.827,1.0000,5712,5,0
40,掠奪者任務,0.822,1.0000,5664,5,0
41,掠奪者任務,0.818,1.0000,5424,5,0
42,掠奪者任務,0.814,1.0000,5792,5,0
43,掠奪者任務,0.810,1.0000,6640,5,0
44,掠奪者任務,0.806,1.0000,6544,5,0
45,掠奪者任務,0.802,1.0000,6032,5,0
46,掠奪者任務,0.798,1.0000,7408,5,0
47,掠奪者任務,0.794,1.0000,7024,5,0
48,掠奪者任務,0.790,1.0000,6576,5,0
49,掠奪者任務,0.786,1.0000,6640,5,0
50,掠奪者任務,0.782,1.0000,6608,5,0
51,掠奪者任務,0.778,1.0000,6032,5,0
52,掠奪者任務,0.774,1.0000,6688,5,0
53,掠奪者任務,0.771,1.0000,8304,5,0
54,掠奪者任務,0.767,1.0000,6960,5,0
55,掠奪者任務,0.763,1.0000,6944,5,0
56,掠奪者任務,0.759,1.0000,7312,5,0
57,掠奪者任務,0.755,1.0000,5632,5,0
58,掠奪者任務,0.751,1.0000,5088,5,0
59,掠奪者任務,0.748,1.0000,6672,5,0
60,掠奪者任務,0.744,1.0000,6784,5,0
61,掠奪者任務,0.740,1.0000,5328,5,0
62,掠奪者任務,0.737,1.0000,6800,5,0
63,掠奪者任務,0.733,1.0000,5984,5,0
64,掠奪者任務,0.729,1.0000,7216,5,0
65,掠奪者任務,0.726,1.0000,6656,5,0
66,掠奪者任務,0.722,1.0000,7840,5,0
67,掠奪者任務,0.718,1.0000,6240,5,0
68,掠奪者任務,0.715,1.0000,6784,5,0
69,掠奪者任務,0.711,1.0000,6640,5,0
70,掠奪者任務,0.708,1.0000,7440,5,0
71,掠奪者任務,0.704,1.0000,7776,5,0
72,掠奪者任務,0.701,1.0000,6224,5,0
73,掠奪者任務,0.697,1.0000,6224,5,0
74,掠奪者任務,0.694,1.0000,6288,5,0
75,掠奪者任務,0.690,1.0000,6256,5,0
76,掠奪者任務,0.687,1.0000,6960,5,0
77,掠奪者任務,0.683,1.0000,5904,5,0
78,掠奪者任務,0.680,1.0000,6512,5,0
79,掠奪者任務,0.676,1.0000,5856,5,0
80,掠奪者任務,0.673,1.0000,6816,5,0
81,掠奪者任務,0.670,1.0000,5920,5,0
82,掠奪者任務,0.666,1.0000,6320,5,0
83,掠奪者任務,0.663,1.0000,6512,5,0
84,掠奪者任務,0.660,1.0000,7216,5,0
85,掠奪者任務,0.656,1.0000,7648,5,0
86,掠奪者任務,0.653,1.0000,8560,5,0
87,掠奪者任務,0.650,1.0000,5728,5,0
88,掠奪者任務,0.647,1.0000,5856,5,0
89,掠奪者任務,0.643,1.0000,6464,5,0
90,掠奪者任務,0.640,1.0000,7312,5,0
91,掠奪者任務,0.637,1.0000,6480,5,0
92,掠奪者任務,0.634,1.0000,6448,5,0
93,掠奪者任務,0.631,1.0000,11888,5,0
94,掠奪者任務,0.627,1.0000,8016,5,0
95,掠奪者任務,0.624,1.0000,6480,5,0
96,掠奪者任務,0.621,1.0000,5696,5,0
97,掠奪者任務,0.618,1.0000,7744,5,0
98,掠奪者任務,0.615,1.0000,7824,5,0
99,掠奪者任務,0.612,1.0000,8288,5,0
100,掠奪者任務,0.609,1.0000,6320,5,0
101,掠奪者任務,0.606,1.0000,7792,5,0
102,掠奪者任務,0.603,1.0000,7616,5,0
103,掠奪者任務,0.600,1.0000,7280,5,0
104,掠奪者任務,0.597,1.0000,5984,5,0
105,掠奪者任務,0.594,1.0000,6992,5,0
106,掠奪者任務,0.591,1.0000,6240,5,0
